County,Year,unique_col,County_,Pollutant_,Year_,Daily Max 1-hour SO2 Concentration_mean,Daily Max 1-hour SO2 Concentration_median,Daily Max 1-hour SO2 Concentration_<lambda_0>,Daily Max 1-hour SO2 Concentration_<lambda_1>,Daily Max 1-hour SO2 Concentration_<lambda_2>,Daily Max 8-hour Ozone Concentration_mean,Daily Max 8-hour Ozone Concentration_median,Daily Max 8-hour Ozone Concentration_<lambda_0>,Daily Max 8-hour Ozone Concentration_<lambda_1>,Daily Max 8-hour Ozone Concentration_<lambda_2>,Daily Max 8-hour CO Concentration_mean,Daily Max 8-hour CO Concentration_median,Daily Max 8-hour CO Concentration_<lambda_0>,Daily Max 8-hour CO Concentration_<lambda_1>,Daily Max 8-hour CO Concentration_<lambda_2>,Daily Mean PM2.5 Concentration_mean,Daily Mean PM2.5 Concentration_median,Daily Mean PM2.5 Concentration_<lambda_0>,Daily Mean PM2.5 Concentration_<lambda_1>,Daily Mean PM2.5 Concentration_<lambda_2>,Daily Mean PM10 Concentration_mean,Daily Mean PM10 Concentration_median,Daily Mean PM10 Concentration_<lambda_0>,Daily Mean PM10 Concentration_<lambda_1>,Daily Mean PM10 Concentration_<lambda_2>
Barbour,2018,Barbour_2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,2019,Barbour_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,2020,Barbour_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,2021,Barbour_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,2022,Barbour_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,2023,Barbour_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,2024,Barbour_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2018,Berkeley_2018,Berkeley,Ozone,2018.0,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0386694214876033,0.039,0.031,0.039,0.047,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,2018,Berkeley_2018,Berkeley,PM25,2018.0,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,8.10608695652174,7.1,4.45,7.1,9.8,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,2019,Berkeley_2019,Berkeley,Ozone,2019.0,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0408755186721991,0.042,0.036,0.042,0.047,0.2687698592827962,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,2019,Berkeley_2019,Berkeley,PM25,2019.0,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,8.83391304347826,7.6,4.9,7.6,10.15,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,2020,Berkeley_2020,Berkeley,Ozone,2020.0,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0385541666666666,0.039,0.033,0.039,0.045,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,2020,Berkeley_2020,Berkeley,PM25,2020.0,4.524664125245199,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.483898305084746,6.35,4.4,6.35,9.2,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,2021,Berkeley_2021,Berkeley,Ozone,2021.0,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0406299559471365,0.041,0.0345,0.041,0.047,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,2021,Berkeley_2021,Berkeley,PM25,2021.0,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,8.770689655172413,7.3,5.175,7.3,11.55,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
