County,Year,healthcare,income,smoking
Logan,2022,1780,38600.0,29.0
Logan,2023,1860,40400.0,30.0
Logan,2024,2450,42600.0,27.0
Marion,2018,1730,45700.0,26.0
Marion,2019,1770,46500.0,26.0
Marion,2020,1880,46200.0,23.0
Marion,2021,2000,51300.0,25.0
Marion,2022,1930,58900.0,25.0
Marion,2023,1930,51300.0,23.0
Marion,2024,2070,58900.0,21.0
Marshall,2018,2660,42400.0,22.0
Marshall,2019,2650,41500.0,22.0
Marshall,2020,2400,50100.0,22.0
Marshall,2021,2800,53100.0,26.0
Marshall,2022,3050,54000.0,24.0
Marshall,2023,3010,51400.0,23.0
Marshall,2024,2740,51900.0,21.0
Mason,2018,1800,42200.0,24.0
Mason,2019,1790,40300.0,24.0
Mason,2020,1910,43100.0,24.0
Mason,2021,2230,47800.0,28.0
Mason,2022,2210,44300.0,25.0
Mason,2023,2190,44400.0,24.0
Mason,2024,2100,48100.0,24.0
McDowell,2018,1980,24500.0,28.0
McDowell,2019,2130,26500.0,28.0
McDowell,2020,3690,27300.0,30.0
McDowell,2021,3640,29100.0,35.0
McDowell,2022,4410,26600.0,34.0
McDowell,2023,4230,28700.0,34.0
McDowell,2024,3670,29000.0,31.0
Mercer,2018,1530,36900.0,24.0
Mercer,2019,1590,36200.0,24.0
Mercer,2020,1490,37900.0,25.0
Mercer,2021,1600,41800.0,26.0
Mercer,2022,1730,42100.0,27.0
Mercer,2023,1820,45700.0,26.0
Mercer,2024,1970,43900.0,22.0
Mineral,2018,3430,45400.0,22.0
Mineral,2019,3050,45100.0,22.0
Mineral,2020,3020,48600.0,21.0
Mineral,2021,2990,49700.0,25.0
Mineral,2022,3360,50300.0,23.0
Mineral,2023,3340,55000.0,22.0
Mineral,2024,3360,59700.0,20.0
Mingo,2018,3160,30600.0,25.0
Mingo,2019,4930,30900.0,25.0
Mingo,2020,4830,32900.0,30.0
Mingo,2021,5950,34700.0,34.0
Mingo,2022,5860,33000.0,30.0
Mingo,2023,5740,33400.0,30.0
Mingo,2024,7670,35800.0,28.0
Monongalia,2018,810,49700.0,20.0
Monongalia,2019,770,50600.0,20.0
Monongalia,2020,760,51100.0,20.0
Monongalia,2021,730,55700.0,21.0
Monongalia,2022,680,55800.0,20.0
Monongalia,2023,710,56700.0,19.0
Monongalia,2024,750,59100.0,16.0
Monroe,2018,2250,38400.0,22.0
Monroe,2019,2230,44200.0,22.0
Monroe,2020,2680,38200.0,23.0
Monroe,2021,2660,44700.0,28.0
Monroe,2022,2660,46900.0,26.0
Monroe,2023,2650,47300.0,24.0
Monroe,2024,2470,53200.0,23.0
Morgan,2018,1950,59600.0,20.0
Morgan,2019,1960,44400.0,20.0
Morgan,2020,1770,49500.0,21.0
Morgan,2021,1980,50700.0,25.0
Morgan,2022,1990,57400.0,24.0
Morgan,2023,2230,58500.0,23.0
Morgan,2024,1910,56200.0,21.0
Nicholas,2018,1110,37400.0,22.0
Nicholas,2019,1100,37400.0,22.0
Nicholas,2020,1040,38600.0,21.0
Nicholas,2021,1080,40000.0,28.0
Nicholas,2022,1170,42700.0,26.0
Nicholas,2023,1110,47200.0,25.0
Nicholas,2024,1160,46800.0,22.0
Ohio,2018,580,43200.0,19.0
Ohio,2019,570,47800.0,19.0
Ohio,2020,630,48700.0,22.0
Ohio,2021,600,50400.0,22.0
Ohio,2022,600,41300.0,22.0
Ohio,2023,660,53600.0,21.0
