,MSE,RMSE,MAE,R2,MAPE
Linear Regression,0.44448735361129965,0.6666988477650907,0.5209483006789237,0.778028627950867,0.05082180339769091
Ridge Regression,0.47941214747470967,0.6923959470380439,0.5310909096320928,0.7605876268753369,0.051878483302459324
Lasso Regression,1.5193112894495053,1.2326034599373414,1.0461744926522387,0.24127512571761334,0.10434813392232493
Random Forest,0.42593638636363557,0.6526380209301597,0.5473409090909079,0.7872927467595283,0.05326119590688061
Gradient Boosting,0.37420170320863344,0.6117202818352793,0.47620740228809577,0.8131283942962754,0.04565823403997579
