,MSE,RMSE,MAE,MAPE,R2,Best Params,CV RMSE
Linear Regression,0.6756928515932985,0.8220053841632051,0.5889890833391569,0.05919443767355752,0.6443756208508438,{},0.5975139039947432
Ridge Regression,0.6605235045755747,0.8127259713923105,0.5877593718896457,0.0589366985648279,0.6523594105306599,{'alpha': 0.1},0.5929284814555192
Lasso Regression,0.7095795712814134,0.8423654618284235,0.6457160300599921,0.06629703695762897,0.6265406776187659,{'alpha': 0.01},0.5958061971939161
Random Forest,0.7057938293086806,0.8401153666661982,0.6210751630670677,0.06160832153626132,0.6285331541345339,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6064158994297071
XGBoost,0.9105163656795666,0.9542098121899432,0.6759768052534623,0.06606547163240888,0.5207854922744704,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.6}",0.6047551320920533
