County,Year,SO2 Mean,SO2 Median,Ozone Mean,Ozone Median,CO Mean,CO Median,PM2.5 Mean,PM2.5 Median,PM10 Mean,PM10 Median
Marshall,2021,4.525,4.525,0.04,0.04,0.269,0.269,11.403,9.5,15.002,15.002
Marshall,2022,4.525,4.525,0.04,0.04,0.269,0.269,10.175,8.9,15.002,15.002
Marshall,2023,4.525,4.525,0.04,0.04,0.269,0.269,11.037,9.3,15.002,15.002
Marshall,2024,4.525,4.525,0.04,0.04,0.269,0.269,7.588,7.0,15.002,15.002
Mason,2018,6.065,1.8,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mason,2019,5.947,1.5,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mason,2020,6.431,1.0,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mason,2021,5.101,2.0,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mason,2022,3.548,1.0,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mason,2023,4.55,1.0,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mason,2024,9.745,2.0,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mineral,2018,17.454,2.1,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mineral,2019,9.552,2.2,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Mineral,2020,1.197,1.2,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Monongalia,2018,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Monongalia,2019,4.525,4.525,0.043,0.043,0.269,0.269,7.983,7.983,15.002,15.002
Monongalia,2020,4.525,4.525,0.041,0.042,0.269,0.269,7.983,7.983,15.002,15.002
Monongalia,2021,4.525,4.525,0.041,0.042,0.269,0.269,7.983,7.983,15.002,15.002
Monongalia,2022,4.525,4.525,0.039,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Monongalia,2023,4.525,4.525,0.044,0.045,0.269,0.269,7.983,7.983,15.002,15.002
Monongalia,2024,4.525,4.525,0.045,0.046,0.269,0.269,7.983,7.983,15.002,15.002
Ohio,2018,4.525,4.525,0.042,0.043,0.269,0.269,7.983,7.983,15.002,15.002
Ohio,2019,4.525,4.525,0.043,0.044,0.269,0.269,7.983,7.983,15.002,15.002
Ohio,2020,4.525,4.525,0.041,0.042,0.269,0.269,7.983,7.983,15.002,15.002
Ohio,2021,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Ohio,2022,4.525,4.525,0.038,0.038,0.269,0.269,7.983,7.983,15.002,15.002
Ohio,2023,4.525,4.525,0.043,0.043,0.269,0.269,7.983,7.983,15.002,15.002
Ohio,2024,4.525,4.525,0.044,0.044,0.269,0.269,7.983,7.983,15.002,15.002
Tucker,2018,4.525,4.525,0.037,0.037,0.269,0.269,7.983,7.983,15.002,15.002
Tucker,2019,4.525,4.525,0.038,0.038,0.269,0.269,7.983,7.983,15.002,15.002
Tucker,2020,4.525,4.525,0.036,0.036,0.269,0.269,7.983,7.983,15.002,15.002
Tucker,2021,4.525,4.525,0.037,0.037,0.269,0.269,7.983,7.983,15.002,15.002
Tucker,2022,4.525,4.525,0.038,0.038,0.269,0.269,7.983,7.983,15.002,15.002
Tucker,2023,4.525,4.525,0.039,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Tucker,2024,4.525,4.525,0.039,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Wood,2018,4.525,4.525,0.039,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Wood,2019,4.525,4.525,0.042,0.042,0.269,0.269,7.983,7.983,15.002,15.002
Wood,2020,4.525,4.525,0.038,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Wood,2021,4.525,4.525,0.039,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Wood,2022,4.525,4.525,0.041,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Wood,2023,4.525,4.525,0.042,0.042,0.269,0.269,7.983,7.983,15.002,15.002
Wood,2024,4.525,4.525,0.045,0.045,0.269,0.269,7.983,7.983,15.002,15.002
