County,AQI_records_20,Good_20,Moderate_20,Unhealthy_sens_20,Unhealthy_20,Very_unhealthy_20,Hazardous_20,Max_AQI_20,90th_Percentile_AQI_20,Median_AQI_20,CO_20,NO2_20,O3_20,PM2.5_20,PM10_20
Baldwin,269,223,46,0,0,0,0,74,54,38,0,0,178,91,0
Clay,105,83,22,0,0,0,0,88,56,34,0,0,0,105,0
DeKalb,364,332,32,0,0,0,0,91,49,37,0,0,309,55,0
Elmore,197,197,0,0,0,0,0,47,41,31,0,0,197,0,0
Etowah,276,239,37,0,0,0,0,93,53,36,0,0,191,85,0
Jefferson,366,119,244,3,0,0,0,129,70,54,0,0,58,308,0
Lawrence,90,84,6,0,0,0,0,78,48,24,0,0,0,90,0
Madison,364,210,154,0,0,0,0,89,59,47,0,0,72,288,4
Mobile,348,188,160,0,0,0,0,78,62,49,0,0,84,264,0
Montgomery,361,70,289,2,0,0,0,116,70,58,0,0,18,343,0
Morgan,355,251,104,0,0,0,0,75,58,41,0,0,96,259,0
Russell,365,236,129,0,0,0,0,99,61,44,0,0,49,316,0
Shelby,241,232,9,0,0,0,0,67,46,34,0,0,241,0,0
Sumter,355,314,41,0,0,0,0,74,51,33,0,0,139,216,0
Tuscaloosa,278,247,31,0,0,0,0,97,52,34,0,0,186,92,0
Aleutians East ,121,121,0,0,0,0,0,41,29,11,0,0,0,121,0
Anchorage ,366,294,72,0,0,0,0,92,55,27,6,0,0,267,93
Bethel ,167,165,2,0,0,0,0,56,24,7,0,0,0,30,137
Denali ,358,356,2,0,0,0,0,54,42,33,0,0,353,5,0
Fairbanks North Star ,366,231,98,17,20,0,0,177,106,39,0,0,76,287,3
Juneau ,361,320,40,1,0,0,0,101,52,19,0,0,0,336,25
Kenai Peninsula ,122,120,2,0,0,0,0,53,19,10,0,0,0,122,0
Matanuska-Susitna ,359,317,41,1,0,0,0,103,53,17,0,0,0,303,56
North Slope ,112,111,1,0,0,0,0,54,16,6,0,0,0,112,0
Apache,364,356,8,0,0,0,0,63,30,14,0,0,0,53,311
Cochise,366,271,93,2,0,0,0,108,61,45,0,0,301,4,61
Coconino,366,302,64,0,0,0,0,93,58,44,0,0,345,21,0
Gila,366,256,99,8,3,0,0,174,74,44,0,0,338,1,27
La Paz,366,292,72,2,0,0,0,125,58,44,0,0,350,9,7
Maricopa,366,11,154,60,66,75,0,282,216,112,0,0,271,63,32
Mohave,358,348,9,1,0,0,0,116,36,19,0,0,0,51,307
Navajo,366,314,50,2,0,0,0,136,54,43,0,0,359,4,3
Pima,366,124,229,12,0,1,0,277,77,55,0,0,169,99,98
Pinal,366,86,196,74,8,0,2,1194,121,73,0,0,123,60,183
Santa Cruz,360,208,147,4,1,0,0,170,71,44,0,0,0,303,57
Yavapai,331,265,65,1,0,0,0,119,61,45,0,0,331,0,0
Yuma,366,206,157,2,0,0,1,319,70,49,0,0,174,152,40
Arkansas,119,84,35,0,0,0,0,84,56,36,0,0,0,119,0
Ashley,122,91,31,0,0,0,0,91,56,37,0,0,0,122,0
Clark,342,341,1,0,0,0,0,67,40,29,0,0,342,0,0
Crittenden,366,244,119,3,0,0,0,115,60,45,0,3,104,259,0
Garland,121,79,42,0,0,0,0,85,58,39,0,0,0,121,0
Jackson,122,92,30,0,0,0,0,79,57,34,0,0,0,122,0
Newton,364,352,12,0,0,0,0,84,46,35,0,0,343,21,0
Polk,359,322,37,0,0,0,0,84,51,37,0,0,299,60,0
Pulaski,366,186,178,2,0,0,0,132,64,50,0,3,68,295,0
Union,121,74,47,0,0,0,0,90,57,45,0,0,0,121,0
Washington,366,251,114,1,0,0,0,150,58,44,0,0,129,237,0
Alameda,366,169,177,8,11,1,0,243,81,52,0,6,87,273,0
Amador,359,327,29,2,1,0,0,156,50,37,0,0,359,0,0
Butte,366,149,178,18,16,3,2,508,110,54,0,0,159,204,3
Calaveras,364,206,135,10,12,1,0,210,79,48,0,0,182,177,5
Colusa,366,218,116,9,22,1,0,221,87,42,0,0,148,190,28
Contra Costa,366,192,156,7,10,1,0,221,75,49,0,2,107,257,0
Del Norte,292,193,90,4,3,2,0,245,61,42,0,0,0,292,0
El Dorado,366,256,87,17,6,0,0,190,90,43,0,0,346,13,7
Fresno,366,75,192,59,31,8,1,346,154,76,0,0,149,204,13
Glenn,364,200,135,7,19,3,0,221,84,46,0,0,151,202,11
Humboldt,366,318,45,3,0,0,0,109,53,29,0,0,225,80,61
Imperial,366,94,244,26,2,0,0,166,97,60,0,1,153,146,66
Inyo,366,158,153,23,16,8,8,705,130,57,0,0,218,128,20
Kern,366,56,180,98,28,4,0,267,140,83,0,0,184,166,16
Kings,366,76,220,54,13,2,1,548,124,70,0,0,118,199,49
Lake,351,341,6,1,3,0,0,190,44,32,0,0,324,25,2
Los Angeles,366,35,194,77,43,17,0,250,166,85,0,9,180,175,2
Madera,366,104,209,34,15,4,0,275,113,64,0,0,173,174,19
Marin,366,272,85,4,4,1,0,231,62,36,0,8,148,210,0
Mariposa,366,195,123,27,10,6,5,1073,111,49,0,0,275,84,7
Mendocino,366,240,103,10,10,0,3,716,79,40,0,0,112,252,2
Merced,366,131,203,17,15,0,0,194,96,57,0,0,164,201,1
Mono,366,183,117,13,14,11,28,2088,224,51,0,0,0,331,35
Monterey,366,259,92,4,8,3,0,275,64,39,0,0,171,171,24
Napa,365,259,91,7,7,1,0,224,66,39,3,0,163,199,0
Nevada,366,223,111,15,11,6,0,277,91,46,0,0,173,193,0
Orange,366,118,207,28,11,2,0,218,108,56,0,4,153,207,2
Placer,366,130,195,20,15,6,0,247,108,57,0,0,181,177,8
Plumas,360,135,175,16,17,10,7,755,146,56,0,0,0,360,0
Riverside,366,42,179,98,36,9,2,584,159,87,0,0,211,124,31
Sacramento,366,145,185,17,16,3,0,226,100,55,0,0,166,191,9
San Benito,366,271,78,8,9,0,0,174,68,41,0,0,241,117,8
San Bernardino,366,33,170,76,69,18,0,236,185,93,0,6,219,128,13
San Diego,366,33,284,35,14,0,0,192,108,74,0,0,100,263,3
San Francisco,366,227,131,3,4,1,0,223,67,42,0,5,118,243,0
San Joaquin,366,162,173,16,13,2,0,215,97,54,0,0,129,223,14
San Luis Obispo,366,161,174,21,7,1,2,334,90,53,0,0,179,181,6
San Mateo,366,257,99,5,5,0,0,199,64,37,0,11,136,219,0
Santa Barbara,366,199,154,9,4,0,0,174,68,48,0,0,156,207,3
Santa Clara,366,174,172,11,9,0,0,198,81,52,0,3,107,256,0
Santa Cruz,366,261,85,6,10,1,3,624,68,39,0,0,138,228,0
Shasta,366,295,63,6,2,0,0,171,66,41,0,0,339,27,0
Siskiyou,366,272,71,10,9,2,2,468,66,39,0,0,210,156,0
Solano,366,183,167,9,6,1,0,228,77,51,0,0,125,240,1
