Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State_County_Year
333,151,182,0,0,0,0,82,64,52,0,0,0,333,0,georgiafloyd2018
365,153,208,4,0,0,0,133,68,52,1,22,70,272,0,georgiafulton2018
272,247,25,0,0,0,0,74,49,35,0,0,202,70,0,georgiaglynn2018
361,160,201,0,0,0,0,87,66,52,0,0,66,295,0,georgiagwinnett2018
322,220,102,0,0,0,0,72,58,41,0,0,0,322,0,georgiahall2018
354,246,105,3,0,0,0,115,60,38,0,0,134,220,0,georgiahenry2018
322,196,124,2,0,0,0,108,63,46,0,0,0,322,0,georgiahouston2018
315,167,148,0,0,0,0,94,59,49,0,0,0,315,0,georgialowndes2018
271,232,39,0,0,0,0,100,54,37,0,0,205,66,0,georgiamurray2018
364,257,107,0,0,0,0,98,59,39,0,0,105,259,0,georgiamuscogee2018
288,274,13,1,0,0,0,115,46,33,0,0,288,0,0,georgiapike2018
364,200,160,4,0,0,0,150,63,47,0,0,54,300,10,georgiarichmond2018
243,200,41,2,0,0,0,112,61,36,0,0,243,0,0,georgiarockdale2018
241,219,22,0,0,0,0,80,50,34,0,0,241,0,0,georgiasumter2018
347,196,151,0,0,0,0,75,61,47,0,0,0,347,0,georgiawalker2018
121,96,25,0,0,0,0,70,56,37,0,0,0,121,0,georgiawashington2018
365,140,211,12,2,0,0,153,89,55,0,0,0,365,0,hawaiihawaii2018
365,353,12,0,0,0,0,73,43,31,1,0,200,162,2,hawaiihonolulu2018
355,350,5,0,0,0,0,56,34,18,0,147,0,208,0,hawaiikauai2018
361,347,14,0,0,0,0,76,39,25,0,0,0,361,0,hawaiimaui2018
365,266,92,7,0,0,0,134,72,42,2,0,226,135,2,idahoada2018
365,298,63,2,2,0,0,174,60,29,0,0,0,310,55,idahobannock2018
361,156,192,11,2,0,0,164,80,53,0,0,0,361,0,idahobenewah2018
363,313,47,3,0,0,0,143,55,17,0,0,0,363,0,idahoblaine2018
365,169,190,6,0,0,0,130,70,52,0,0,0,365,0,idahoboise2018
363,258,89,11,4,1,0,270,64,39,0,0,0,332,31,idahobonner2018
352,268,81,2,1,0,0,154,61,36,0,0,0,352,0,idahobonneville2018
363,311,49,3,0,0,0,115,54,41,0,0,352,11,0,idahobutte2018
365,254,106,5,0,0,0,134,69,35,0,0,0,324,41,idahocanyon2018
90,85,3,2,0,0,0,128,26,7,0,0,0,90,0,idahocuster2018
319,249,67,3,0,0,0,124,61,25,0,0,0,319,0,idahofranklin2018
365,248,115,2,0,0,0,134,64,43,0,0,156,209,0,idahoidaho2018
320,270,45,5,0,0,0,145,57,24,0,0,0,320,0,idahojerome2018
331,240,81,5,4,1,0,229,65,33,0,0,0,331,0,idahokootenai2018
365,327,32,5,1,0,0,184,52,14,0,0,0,365,0,idaholatah2018
360,225,132,3,0,0,0,121,74,38,0,0,0,360,0,idaholemhi2018
365,273,87,4,1,0,0,188,67,25,0,0,0,365,0,idahonezperce2018
365,157,195,12,1,0,0,153,85,53,0,0,0,361,4,idahoshoshone2018
355,271,79,3,2,0,0,151,60,39,0,0,0,355,0,idahotwinfalls2018
353,254,97,2,0,0,0,108,62,29,0,0,0,353,0,idahovalley2018
245,228,17,0,0,0,0,87,49,35,0,0,245,0,0,illinoisadams2018
365,209,152,4,0,0,0,112,65,47,0,0,148,217,0,illinoischampaign2018
359,337,21,1,0,0,0,101,48,32,0,0,359,0,0,illinoisclark2018
365,86,260,15,4,0,0,177,86,59,0,25,91,244,5,illinoiscook2018
361,136,221,4,0,0,0,112,72,53,0,0,89,272,0,illinoisdupage2018
