State,County,age_adjusted_trend,crude_trend,latest_age_adjusted,latest_crude,rank
North Carolina,Stanly,-0.3699999999999898,-0.3599999999999758,7.2,8.6,4052.5
Illinois,Moultrie,-0.3199999999999675,-0.34999999999996967,6.9,8.2,4053.0
California,Contra Costa,-0.0699999999999815,-0.00999999999996076,4.2,4.9,4054.0
Virginia,Manassas Park,-0.12999999999996575,-0.00999999999995311,5.4,5.2,4056.0
Wisconsin,La Crosse,-0.09999999999999307,-0.04999999999998453,5.1,5.5,4056.0
Wisconsin,Dodge,-0.13999999999998639,-0.11999999999998236,5.5,6.5,4056.5
Nebraska,Hall,-0.15999999999996106,-0.07999999999993541,5.7,6.4,4058.0
Texas,Duval,-0.21999999999994407,-0.20999999999993813,6.2,7.0,4059.0
Texas,Brewster,-0.11999999999996666,-0.07999999999995026,5.3,6.7,4059.5
Kansas,Jefferson,-0.16999999999997414,-0.15999999999996825,5.8,7.2,4060.0
Kansas,Butler,-0.16999999999997414,-0.14999999999996275,5.8,6.6,4060.0
Nebraska,Buffalo,-0.12999999999997303,-0.07999999999997268,5.4,5.6,4060.0
West Virginia,Monongalia,-0.43999999999996453,-0.3099999999999685,7.5,7.0,4061.0
Wisconsin,Walworth,-0.10999999999998344,-0.07999999999997275,5.2,6.0,4068.0
Texas,Denton,-0.08999999999997864,-0.06999999999996671,4.8,4.8,4069.0
Wisconsin,Fond du Lac,-0.11999999999998935,-0.10999999999998303,5.3,6.3,4070.5
Illinois,DeKalb,-0.21999999999996694,-0.16999999999995868,6.2,6.0,4071.0
Virginia,Mecklenburg,-0.4399999999999946,-0.449999999999993,7.5,10.0,4071.5
Michigan,Missaukee,-0.5499999999999943,-0.5799999999999979,7.8,9.7,4073.0
Illinois,Clinton,-0.22999999999998078,-0.21999999999998204,6.3,7.3,4073.5
New York,Washington,-0.41999999999997484,-0.38999999999997137,7.4,9.0,4074.5
South Carolina,Greenville,-0.1500000000000003,-0.15999999999999176,5.6,6.2,4077.5
California,Los Angeles,-0.08999999999995599,-0.02999999999994249,4.7,5.0,4080.5
Georgia,Dade,-0.4400000000000097,-0.4600000000000143,7.5,8.7,4082.0
