County,AQI_records_19,Good_19,Moderate_19,Unhealthy_sens_19,Unhealthy_19,Very_unhealthy_19,Hazardous_19,Max_AQI_19,90th_Percentile_AQI_19,Median_AQI_19,CO_19,NO2_19,O3_19,PM2.5_19,PM10_19
Baldwin,271,221,50,0,0,0,0,80,55,40,0,0,198,73,0
Clay,107,75,32,0,0,0,0,71,56,41,0,0,0,107,0
Colbert,263,238,25,0,0,0,0,65,50,38,0,0,219,44,0
DeKalb,361,303,58,0,0,0,0,90,54,39,0,0,306,55,0
Elmore,228,208,20,0,0,0,0,100,50,39,0,0,228,0,0
Etowah,279,201,78,0,0,0,0,90,58,44,0,0,201,78,0
Houston,280,230,50,0,0,0,0,77,55,38,0,0,181,99,0
Jefferson,365,85,267,13,0,0,0,150,80,58,0,0,75,289,1
Lawrence,112,98,14,0,0,0,0,58,51,32,0,0,0,112,0
Madison,361,189,172,0,0,0,0,93,62,49,0,0,99,255,7
Mobile,352,167,185,0,0,0,0,82,64,52,0,0,69,283,0
Montgomery,365,84,280,1,0,0,0,122,71,57,0,0,18,346,1
Morgan,365,247,118,0,0,0,0,93,58,45,0,0,145,220,0
Russell,363,195,168,0,0,0,0,84,63,48,0,0,64,299,0
Shelby,244,202,39,3,0,0,0,119,61,42,0,0,244,0,0
Sumter,354,287,67,0,0,0,0,67,54,38,0,0,115,239,0
Tuscaloosa,264,217,47,0,0,0,0,87,54,39,0,0,173,91,0
Aleutians East ,121,119,2,0,0,0,0,55,29,14,0,0,0,121,0
Anchorage ,365,254,102,5,4,0,0,163,67,32,5,0,0,285,75
Bethel ,317,302,13,1,1,0,0,185,34,13,0,0,0,212,105
Denali ,360,355,5,0,0,0,0,82,44,36,0,0,348,12,0
Fairbanks North Star ,365,205,121,18,16,1,4,503,103,44,0,6,98,258,3
Juneau ,362,280,79,3,0,0,0,145,60,27,0,0,0,340,22
Kenai Peninsula ,118,111,6,1,0,0,0,140,28,11,0,0,0,118,0
Matanuska-Susitna ,361,262,96,3,0,0,0,127,66,25,0,0,0,313,48
North Slope ,110,108,2,0,0,0,0,69,15,6,0,0,0,110,0
Apache,359,357,2,0,0,0,0,64,21,11,0,0,0,62,297
Cochise,365,253,112,0,0,0,0,97,64,46,0,0,305,45,15
Coconino,365,280,85,0,0,0,0,80,61,45,0,0,349,16,0
