County,AQI_records_19,Good_19,Moderate_19,Unhealthy_sens_19,Unhealthy_19,Very_unhealthy_19,Hazardous_19,Max_AQI_19,90th_Percentile_AQI_19,Median_AQI_19,CO_19,NO2_19,O3_19,PM2.5_19,PM10_19
Gila,365,210,139,16,0,0,0,146,87,48,0,0,349,1,15
La Paz,364,303,61,0,0,0,0,77,58,44,0,0,357,6,1
Maricopa,365,50,277,38,0,0,0,147,101,67,0,2,204,92,67
Mohave,365,358,7,0,0,0,0,69,29,14,0,0,0,52,313
Navajo,365,294,70,1,0,0,0,112,58,44,0,0,357,1,7
Pima,365,207,156,2,0,0,0,103,71,49,0,0,237,51,77
Pinal,365,104,228,21,2,3,7,929,100,63,0,0,148,66,151
Santa Cruz,362,250,110,2,0,0,0,120,67,39,0,0,0,323,39
Yavapai,357,298,59,0,0,0,0,87,54,43,0,0,355,2,0
Yuma,365,226,136,3,0,0,0,129,67,47,0,0,214,120,31
Arkansas,118,77,41,0,0,0,0,80,58,41,0,0,0,118,0
Ashley,120,72,48,0,0,0,0,71,58,43,0,0,0,120,0
Benton,146,79,67,0,0,0,0,85,61,47,0,0,0,146,0
Clark,355,347,8,0,0,0,0,67,46,32,0,0,355,0,0
Craighead,49,35,14,0,0,0,0,65,58,41,0,0,0,49,0
Crittenden,365,212,152,1,0,0,0,101,60,47,0,0,107,258,0
Garland,121,61,60,0,0,0,0,77,60,50,0,0,0,121,0
Jackson,117,76,41,0,0,0,0,77,59,45,0,0,0,117,0
Newton,365,344,21,0,0,0,0,90,48,36,0,0,342,23,0
Polk,361,291,69,1,0,0,0,119,58,40,0,0,287,74,0
Pulaski,365,145,220,0,0,0,0,81,64,53,0,2,88,275,0
Union,241,135,106,0,0,0,0,99,59,46,0,0,0,241,0
Washington,365,193,172,0,0,0,0,97,61,48,0,0,118,247,0
Alameda,365,183,174,8,0,0,0,150,67,50,0,11,94,260,0
Amador,355,308,45,2,0,0,0,115,51,39,0,0,355,0,0
Butte,365,171,189,3,2,0,0,180,71,51,0,0,121,243,1
Calaveras,360,288,71,1,0,0,0,108,60,43,0,0,297,62,1
Colusa,365,260,105,0,0,0,0,85,61,41,0,0,152,173,40
Contra Costa,365,238,123,4,0,0,0,129,64,43,0,3,171,190,1
Del Norte,248,210,38,0,0,0,0,74,53,26,0,0,0,248,0
El Dorado,365,273,86,6,0,0,0,122,74,43,0,0,353,3,9
Fresno,365,113,186,64,2,0,0,187,115,63,0,1,229,118,17
Glenn,362,274,88,0,0,0,0,86,58,42,0,0,232,119,11
Humboldt,363,340,23,0,0,0,0,69,44,28,2,1,253,70,37
Imperial,365,94,250,19,2,0,0,185,93,61,0,0,185,128,52
Inyo,365,226,127,6,2,1,3,653,84,47,0,0,313,23,29
Kern,365,91,179,87,6,1,1,553,122,69,0,1,228,108,28
Kings,365,123,201,37,2,0,2,508,105,58,0,0,166,130,69
Lake,360,360,0,0,0,0,0,50,42,31,0,0,351,8,1
Los Angeles,365,34,245,57,28,1,0,201,136,72,0,24,166,170,5
Madera,365,167,185,13,0,0,0,140,84,52,0,0,225,103,37
Marin,363,291,71,1,0,0,0,133,55,37,0,10,151,202,0
Mariposa,365,192,159,9,5,0,0,185,84,50,0,0,247,118,0
Mendocino,361,290,71,0,0,0,0,80,54,36,0,0,155,199,7
Merced,365,176,182,7,0,0,0,119,80,51,0,0,202,161,2
Mono,365,242,108,6,0,0,9,4227,83,34,0,0,0,322,43
Monterey,365,303,61,1,0,0,0,144,54,39,2,0,228,127,8
Napa,363,295,66,2,0,0,0,119,54,37,2,0,211,150,0
Nevada,361,251,105,5,0,0,0,122,71,45,0,0,272,89,0
Orange,365,157,192,15,1,0,0,172,87,53,0,7,188,164,6
Placer,365,198,158,9,0,0,0,136,77,49,0,0,218,145,2
Plumas,341,220,116,5,0,0,0,138,71,34,0,0,0,341,0
Riverside,365,53,192,91,29,0,0,185,147,77,0,0,219,102,44
Sacramento,365,175,180,10,0,0,0,140,84,52,0,1,188,169,7
San Benito,365,318,47,0,0,0,0,90,52,39,0,0,308,51,6
San Bernardino,365,29,203,71,54,8,0,213,172,81,0,4,214,140,7
San Diego,365,38,302,23,2,0,0,169,93,66,0,1,133,228,3
San Francisco,365,251,113,1,0,0,0,108,58,39,0,15,119,231,0
San Joaquin,365,202,151,11,1,0,0,190,82,47,0,1,201,149,14
San Luis Obispo,365,196,166,3,0,0,0,108,74,49,0,0,239,109,17
San Mateo,365,276,87,2,0,0,0,122,57,39,0,14,135,216,0
Santa Barbara,365,242,122,1,0,0,0,105,63,45,0,0,228,128,9
Santa Clara,365,205,156,4,0,0,0,136,68,48,0,1,134,229,1
Santa Cruz,365,291,74,0,0,0,0,74,54,39,0,0,166,199,0
Shasta,364,306,58,0,0,0,0,100,54,42,0,0,349,13,2
Siskiyou,365,302,59,2,2,0,0,164,54,38,0,0,239,126,0
Solano,365,226,138,1,0,0,0,119,64,45,0,1,129,235,0
Sonoma,365,318,47,0,0,0,0,87,52,36,0,1,202,155,7
Stanislaus,365,168,174,22,1,0,0,177,92,52,0,0,208,147,10
Sutter,365,200,163,2,0,0,0,110,71,48,0,0,200,159,6
Tehama,365,263,102,0,0,0,0,93,64,43,0,0,299,66,0
Trinity,269,225,42,2,0,0,0,113,56,23,0,0,0,269,0
Tulare,365,98,186,78,2,1,0,280,122,67,0,0,210,136,19
Tuolumne,358,273,83,2,0,0,0,108,67,43,0,0,358,0,0
Ventura,365,175,181,9,0,0,0,126,77,51,0,3,226,127,9
Yolo,365,252,112,1,0,0,0,136,63,43,0,1,249,114,1
Adams,365,183,181,1,0,0,0,132,67,50,0,30,129,152,54
Alamosa,107,107,0,0,0,0,0,28,23,12,0,0,0,107,0
Arapahoe,365,222,137,6,0,0,0,140,80,47,0,0,348,17,0
Archuleta,363,331,30,2,0,0,0,124,50,31,0,3,186,0,174
Boulder,365,192,168,5,0,0,0,119,74,50,0,0,234,131,0
Chaffee,144,80,63,1,0,0,0,108,77,50,0,0,144,0,0
Clear Creek,294,183,109,2,0,0,0,126,74,47,0,0,294,0,0
Delta,365,338,27,0,0,0,0,80,50,41,0,0,340,25,0
Denver,365,139,223,2,1,0,0,153,77,54,0,80,133,152,0
Douglas,361,220,130,10,1,0,0,154,79,47,0,0,289,72,0
El Paso,365,249,116,0,0,0,0,100,67,46,0,0,320,45,0
Fremont,32,32,0,0,0,0,0,29,23,13,0,0,0,0,32
Garfield,365,248,115,2,0,0,0,105,74,48,0,0,364,1,0
Gilpin,143,117,25,1,0,0,0,115,58,45,0,0,143,0,0
Grand,118,95,23,0,0,0,0,80,58,45,0,0,118,0,0
Gunnison,362,264,96,2,0,0,0,101,67,46,0,0,362,0,0
Jackson,102,102,0,0,0,0,0,34,17,8,0,0,0,102,0
Jefferson,365,238,111,16,0,0,0,129,87,46,0,2,363,0,0
La Plata,365,267,98,0,0,0,0,87,61,44,0,3,317,45,0
Larimer,365,183,176,6,0,0,0,129,77,50,0,0,307,58,0
Mesa,364,238,125,1,0,0,0,101,67,47,2,0,283,78,1
Montezuma,365,279,86,0,0,0,0,97,61,46,0,0,365,0,0
Park,312,160,150,2,0,0,0,101,80,50,0,0,312,0,0
Pitkin,121,121,0,0,0,0,0,46,19,11,0,0,0,33,88
Prowers,346,343,3,0,0,0,0,76,28,14,0,0,0,0,346
Pueblo,126,125,1,0,0,0,0,68,40,26,0,0,0,102,24
Rio Blanco,365,252,113,0,0,0,0,100,55,47,0,0,194,171,0
Routt,356,353,2,1,0,0,0,137,27,13,0,0,0,0,356
San Juan,116,116,0,0,0,0,0,32,19,9,0,0,0,116,0
San Miguel,241,189,52,0,0,0,0,87,58,45,0,0,185,0,56
Weld,365,152,205,8,0,0,0,129,77,53,0,0,228,137,0
Fairfield,365,221,123,18,3,0,0,161,77,46,0,2,159,204,0
Hartford,365,252,108,5,0,0,0,122,59,43,0,12,163,190,0
Litchfield,365,327,38,0,0,0,0,97,51,37,0,0,311,54,0
Middlesex,205,175,23,6,1,0,0,154,61,41,0,0,205,0,0
New Haven,365,228,123,12,2,0,0,159,70,44,0,3,181,180,1
New London,364,295,62,7,0,0,0,129,56,40,0,0,161,203,0
Tolland,212,187,20,5,0,0,0,126,54,42,0,0,212,0,0
Windham,360,344,15,1,0,0,0,105,46,36,0,0,360,0,0
BAJA CALIFORNIA NORTE,32,5,19,8,0,0,0,144,117,72,0,0,0,0,32
SONORA,358,288,65,5,0,0,0,126,61,43,0,0,358,0,0
Kent,365,248,117,0,0,0,0,85,61,44,0,0,198,167,0
New Castle,365,207,155,3,0,0,0,136,71,47,0,3,178,184,0
Sussex,365,251,114,0,0,0,0,93,61,44,0,0,205,160,0
District of Columbia,365,195,165,4,1,0,0,159,73,49,0,16,160,189,0
Alachua,364,289,75,0,0,0,0,80,55,39,0,0,158,206,0
Baker,361,341,20,0,0,0,0,77,48,33,0,0,361,0,0
Bay,357,240,117,0,0,0,0,87,59,44,0,0,108,249,0
Brevard,351,308,43,0,0,0,0,90,51,39,0,0,223,128,0
Broward,363,213,150,0,0,0,0,90,58,47,2,1,55,305,0
Citrus,357,257,100,0,0,0,0,82,55,40,0,0,0,357,0
Collier,362,291,71,0,0,0,0,90,54,40,0,0,111,251,0
Columbia,363,229,134,0,0,0,0,90,61,46,0,0,102,261,0
Duval,361,164,196,1,0,0,0,114,67,51,0,0,72,289,0
Escambia,365,248,116,1,0,0,0,101,61,44,0,0,193,172,0
Flagler,270,265,5,0,0,0,0,74,45,34,0,0,270,0,0
Hamilton,316,214,102,0,0,0,0,81,58,44,0,0,0,316,0
Highlands,233,224,9,0,0,0,0,84,46,36,0,0,233,0,0
Hillsborough,365,202,158,5,0,0,0,126,67,49,0,0,104,261,0
Holmes,362,207,155,0,0,0,0,84,61,47,0,0,106,256,0
Indian River,335,324,11,0,0,0,0,90,47,36,0,0,335,0,0
Lake,330,301,28,1,0,0,0,101,50,35,0,0,330,0,0
Lee,365,289,75,1,0,0,0,108,55,40,0,0,155,206,4
Leon,360,215,144,1,0,0,0,119,63,46,0,0,80,280,0
Liberty,351,339,12,0,0,0,0,74,45,33,0,0,351,0,0
Manatee,365,333,30,2,0,0,0,108,49,36,0,0,365,0,0
Marion,365,244,121,0,0,0,0,88,58,44,0,0,111,254,0
Martin,352,288,64,0,0,0,0,85,54,41,0,0,115,237,0
Miami-Dade,363,245,116,2,0,0,0,146,57,44,1,1,59,301,1
Nassau,270,203,67,0,0,0,0,74,55,41,0,0,0,270,0
Okaloosa,363,335,28,0,0,0,0,84,48,36,0,0,342,0,21
Orange,360,293,67,0,0,0,0,93,55,39,1,1,210,148,0
Osceola,364,338,22,4,0,0,0,122,48,34,0,0,364,0,0
Palm Beach,357,273,84,0,0,0,0,94,56,40,0,0,108,249,0
Pasco,365,336,29,0,0,0,0,97,49,36,0,0,365,0,0
Pinellas,365,223,142,0,0,0,0,100,61,47,0,0,99,265,1
Polk,365,268,97,0,0,0,0,100,58,42,0,0,138,227,0
Putnam,351,346,5,0,0,0,0,54,29,17,0,0,0,0,351
Santa Rosa,364,229,135,0,0,0,0,93,60,44,0,0,119,245,0
Sarasota,365,268,97,0,0,0,0,100,57,43,0,0,114,251,0
Seminole,365,296,68,1,0,0,0,110,56,39,0,0,192,172,1
St. Lucie,352,342,10,0,0,0,0,77,46,34,0,0,352,0,0
Volusia,350,274,76,0,0,0,0,80,55,41,0,0,149,201,0
Wakulla,361,275,86,0,0,0,0,84,58,39,0,0,154,207,0
Bibb,362,216,143,3,0,0,0,137,64,46,0,0,92,270,0
Charlton,103,97,6,0,0,0,0,65,48,26,0,0,0,103,0
Chatham,335,204,131,0,0,0,0,87,60,46,0,0,70,265,0
Chattooga,244,231,13,0,0,0,0,71,48,40,0,0,244,0,0
Clarke,365,171,194,0,0,0,0,87,65,52,0,0,69,296,0
Clayton,119,66,53,0,0,0,0,73,59,48,0,0,0,119,0
Cobb,282,191,90,1,0,0,0,119,61,44,0,0,191,91,0
Coffee,121,94,27,0,0,0,0,70,58,34,0,0,0,121,0
Columbia,245,229,16,0,0,0,0,74,49,39,0,0,245,0,0
Dawson,244,225,18,1,0,0,0,126,48,37,0,0,244,0,0
DeKalb,365,173,188,3,1,0,0,159,67,52,0,20,94,251,0
Dougherty,356,163,191,2,0,0,0,107,68,52,0,0,0,356,0
Douglas,245,212,28,5,0,0,0,126,58,40,0,0,245,0,0
Floyd,363,140,223,0,0,0,0,90,66,54,0,0,0,363,0
Fulton,365,122,236,6,1,0,0,172,74,55,0,5,77,283,0
Glynn,279,235,44,0,0,0,0,80,54,37,0,0,203,76,0
Gwinnett,355,154,199,2,0,0,0,112,71,52,0,0,91,264,0
Hall,340,181,159,0,0,0,0,90,62,49,0,0,0,340,0
Henry,363,234,122,7,0,0,0,150,64,43,0,0,119,244,0
Houston,354,173,179,1,1,0,0,153,65,51,0,0,0,354,0
Lowndes,310,177,133,0,0,0,0,71,60,47,0,0,0,310,0
Murray,269,225,44,0,0,0,0,93,54,42,0,0,230,39,0
Muscogee,364,209,155,0,0,0,0,90,62,47,0,0,91,273,0
Pike,353,307,43,3,0,0,0,147,58,37,0,0,353,0,0
Richmond,364,159,203,2,0,0,0,101,67,52,0,0,67,279,18
Rockdale,241,186,50,5,0,0,0,129,67,43,0,0,241,0,0
Sumter,238,211,27,0,0,0,0,97,54,39,0,0,238,0,0
Walker,356,185,171,0,0,0,0,84,62,49,0,0,0,356,0
Washington,211,138,72,1,0,0,0,116,59,39,0,0,0,211,0
Hawaii,365,357,8,0,0,0,0,81,34,21,0,0,0,365,0
Honolulu,365,360,5,0,0,0,0,62,41,28,0,5,266,93,1
Kauai,363,361,2,0,0,0,0,70,31,16,0,104,0,259,0
Maui,362,339,19,3,1,0,0,171,39,20,0,0,0,362,0
Ada,365,266,99,0,0,0,0,100,58,41,0,3,183,179,0
Bannock,365,330,35,0,0,0,0,64,50,24,0,0,0,265,100
Benewah,364,188,165,9,2,0,0,155,77,49,0,0,0,364,0
Blaine,314,307,7,0,0,0,0,57,33,20,0,0,0,314,0
Boise,365,223,139,2,1,0,0,170,65,44,0,0,0,365,0
Bonner,365,291,73,1,0,0,0,115,60,27,0,0,0,298,67
Bonneville,357,287,70,0,0,0,0,67,53,38,0,0,0,357,0
Butte,361,347,14,0,0,0,0,71,48,40,0,0,359,2,0
Canyon,365,285,80,0,0,0,0,95,58,32,0,0,0,319,46
Custer,96,95,1,0,0,0,0,51,23,8,0,0,0,96,0
Franklin,364,315,46,3,0,0,0,112,54,23,0,0,0,364,0
Idaho,365,236,129,0,0,0,0,89,60,44,0,0,135,230,0
Jerome,353,345,8,0,0,0,0,55,37,20,0,0,0,353,0
Kootenai,355,281,74,0,0,0,0,88,57,31,0,0,0,355,0
Latah,350,343,7,0,0,0,0,55,35,14,0,0,0,350,0
Lemhi,360,237,119,4,0,0,0,133,72,31,0,0,0,360,0
Nez Perce,360,272,88,0,0,0,0,90,61,32,0,0,0,360,0
Shoshone,365,225,137,3,0,0,0,117,75,38,0,0,0,359,6
Twin Falls,365,344,21,0,0,0,0,74,43,26,0,0,0,365,0
Valley,357,261,96,0,0,0,0,92,66,29,0,0,0,357,0
Adams,241,208,33,0,0,0,0,93,54,41,0,0,241,0,0
Champaign,365,225,140,0,0,0,0,100,64,45,0,0,179,186,0
Clark,327,314,13,0,0,0,0,74,47,34,0,0,327,0,0
Cook,365,80,276,9,0,0,0,133,79,58,0,8,58,295,4
DuPage,352,196,153,2,1,0,0,174,65,48,0,0,130,222,0
Effingham,245,224,21,0,0,0,0,84,50,40,0,0,245,0,0
Hamilton,344,204,139,1,0,0,0,105,61,47,0,0,137,207,0
Jersey,347,221,124,2,0,0,0,119,62,46,0,0,170,177,0
Jo Daviess,363,351,12,0,0,0,0,74,47,34,0,0,363,0,0
Kane,284,210,70,4,0,0,0,112,66,42,0,0,204,80,0
Lake,245,210,33,2,0,0,0,115,58,40,0,0,245,0,0
Macon,364,176,188,0,0,0,0,93,64,51,0,0,100,264,0
Macoupin,357,340,17,0,0,0,0,87,47,33,0,112,245,0,0
Madison,363,140,220,1,2,0,0,156,73,55,0,0,144,217,2
McHenry,340,161,177,2,0,0,0,126,65,52,0,0,88,252,0
McLean,364,187,177,0,0,0,0,100,65,49,0,0,116,248,0
Peoria,364,236,126,2,0,0,0,101,62,44,0,0,153,211,0
Randolph,324,234,90,0,0,0,0,97,58,43,0,0,184,140,0
Rock Island,361,221,138,2,0,0,0,115,63,45,0,0,134,227,0
Saint Clair,365,217,147,1,0,0,0,108,64,47,1,57,144,163,0
Sangamon,360,222,138,0,0,0,0,87,61,45,0,0,122,238,0
Will,365,179,186,0,0,0,0,84,66,51,0,0,75,290,0
Winnebago,341,182,158,1,0,0,0,102,66,49,0,0,108,233,0
Allen,365,200,164,1,0,0,0,101,64,49,0,0,163,202,0
Bartholomew,364,256,108,0,0,0,0,77,58,44,0,0,203,161,0
Boone,351,320,31,0,0,0,0,90,50,35,0,0,351,0,0
Brown,365,349,16,0,0,0,0,74,47,35,0,0,365,0,0
Carroll,358,333,25,0,0,0,0,84,49,35,0,0,358,0,0
Clark,365,225,139,1,0,0,0,101,62,45,0,0,194,171,0
Delaware,352,299,53,0,0,0,0,71,56,36,0,0,272,80,0
Dubois,120,76,44,0,0,0,0,73,59,43,0,0,0,119,1
Elkhart,365,251,114,0,0,0,0,83,61,41,0,0,166,199,0
Floyd,361,336,25,0,0,0,0,87,48,35,0,0,361,0,0
Greene,355,291,64,0,0,0,0,87,55,40,0,0,292,63,0
Hamilton,365,214,149,2,0,0,0,119,64,47,0,0,145,220,0
Hendricks,361,348,13,0,0,0,0,93,47,34,0,0,361,0,0
Henry,119,81,38,0,0,0,0,67,58,37,0,0,0,119,0
Howard,361,236,124,1,0,0,0,108,59,44,0,0,192,169,0
Huntington,355,345,10,0,0,0,0,84,44,31,0,0,355,0,0
Jackson,360,340,20,0,0,0,0,80,47,35,0,0,360,0,0
Knox,359,328,31,0,0,0,0,87,50,36,0,0,359,0,0
LaPorte,364,296,64,4,0,0,0,126,64,37,0,0,317,47,0
Lake,365,151,213,1,0,0,0,101,72,52,0,2,86,274,3
Madison,365,216,148,1,0,0,0,101,61,47,0,0,148,217,0
Marion,365,78,283,4,0,0,0,112,74,58,0,0,62,303,0
Monroe,346,220,126,0,0,0,0,72,58,43,0,0,0,346,0
Morgan,364,344,20,0,0,0,0,87,48,35,0,0,364,0,0
Perry,358,322,36,0,0,0,0,80,51,37,0,0,358,0,0
Porter,365,236,125,4,0,0,0,115,64,44,0,0,164,188,13
Posey,364,341,23,0,0,0,0,80,49,35,0,0,364,0,0
Shelby,365,338,27,0,0,0,0,84,49,36,0,0,365,0,0
Spencer,117,81,36,0,0,0,0,76,58,41,0,0,0,117,0
St. Joseph,365,217,148,0,0,0,0,100,66,46,0,0,178,187,0
Sullivan,116,73,43,0,0,0,0,81,58,41,0,0,0,116,0
Tippecanoe,351,210,141,0,0,0,0,78,61,43,0,0,0,351,0
Vanderburgh,365,229,136,0,0,0,0,90,59,46,0,0,155,210,0
Vigo,365,161,203,1,0,0,0,102,67,52,0,0,110,255,0
Wabash,351,319,32,0,0,0,0,97,50,37,0,0,351,0,0
Warrick,365,337,28,0,0,0,0,93,50,36,0,0,365,0,0
Whitley,352,213,139,0,0,0,0,91,60,43,0,0,0,352,0
Black Hawk,363,238,125,0,0,0,0,85,63,41,0,0,0,363,0
Bremer,243,228,15,0,0,0,0,90,46,37,0,0,243,0,0
Cerro Gordo,118,118,0,0,0,0,0,38,27,15,0,0,0,0,118
Clinton,364,192,172,0,0,0,0,91,65,49,0,0,94,270,0
Harrison,241,222,19,0,0,0,0,97,50,38,0,0,241,0,0
Johnson,364,210,154,0,0,0,0,92,64,46,0,0,0,364,0
Lee,120,80,40,0,0,0,0,73,62,39,0,0,0,120,0
Linn,365,223,142,0,0,0,0,86,64,43,0,0,116,249,0
Montgomery,364,267,97,0,0,0,0,77,58,41,0,0,156,208,0
Muscatine,365,238,127,0,0,0,0,93,61,42,0,0,0,365,0
Palo Alto,364,246,118,0,0,0,0,93,60,44,0,0,102,262,0
Polk,365,251,114,0,0,0,0,100,60,42,0,2,174,189,0
Pottawattamie,130,93,37,0,0,0,0,73,58,38,0,0,0,117,13
Scott,365,168,195,2,0,0,0,112,69,52,0,0,82,216,67
Van Buren,361,266,95,0,0,0,0,97,58,42,0,1,130,230,0
Woodbury,118,91,27,0,0,0,0,83,58,38,0,0,0,118,0
Chase,118,105,12,1,0,0,0,113,51,27,0,0,0,118,0
Ford,304,301,3,0,0,0,0,54,31,15,0,0,0,0,304
Johnson,362,308,54,0,0,0,0,77,53,38,0,0,246,116,0
Leavenworth,362,347,15,0,0,0,0,97,45,33,0,0,362,0,0
Neosho,365,219,145,1,0,0,0,119,62,45,0,0,122,242,1
Sedgwick,365,282,83,0,0,0,0,97,58,41,0,8,253,100,4
Shawnee,365,216,148,0,1,0,0,161,63,45,0,0,128,237,0
Sherman,358,354,4,0,0,0,0,58,31,12,0,0,0,0,358
Sumner,365,287,78,0,0,0,0,97,57,41,0,3,244,110,8
Trego,364,310,54,0,0,0,0,99,53,37,0,0,252,112,0
Wyandotte,365,239,125,1,0,0,0,137,63,43,0,24,155,185,1
Bell,263,238,25,0,0,0,0,77,50,40,0,0,222,41,0
Boone,239,222,17,0,0,0,0,80,49,39,0,0,239,0,0
Boyd,365,259,106,0,0,0,0,74,58,44,0,4,124,236,1
Bullitt,243,214,29,0,0,0,0,93,51,41,0,0,243,0,0
Campbell,362,241,120,1,0,0,0,108,60,44,0,21,127,214,0
Carter,285,266,19,0,0,0,0,67,49,37,0,0,215,69,1
Christian,278,228,50,0,0,0,0,80,54,40,0,0,198,80,0
Daviess,364,220,143,1,0,0,0,101,63,46,0,0,137,227,0
Edmonson,365,225,140,0,0,0,0,77,60,46,0,0,134,231,0
Fayette,364,231,133,0,0,0,0,80,58,46,0,5,127,232,0
Greenup,242,237,5,0,0,0,0,58,45,37,0,0,242,0,0
Hancock,245,208,37,0,0,0,0,84,54,42,0,0,245,0,0
Hardin,363,261,102,0,0,0,0,72,57,44,0,0,128,235,0
Henderson,59,29,30,0,0,0,0,71,65,53,0,0,0,59,0
Jefferson,365,124,239,2,0,0,0,136,71,54,0,1,99,265,0
Jessamine,245,221,24,0,0,0,0,67,50,43,0,0,245,0,0
Livingston,261,237,24,0,0,0,0,77,50,41,0,0,242,0,19
McCracken,361,186,175,0,0,0,0,97,63,50,0,2,101,257,1
Morgan,356,341,15,0,0,0,0,80,47,36,0,0,356,0,0
Oldham,242,203,38,1,0,0,0,105,58,42,0,0,242,0,0
Perry,353,238,115,0,0,0,0,87,57,44,0,0,106,247,0
Pike,361,286,75,0,0,0,0,68,55,41,0,0,111,250,0
Pulaski,282,251,31,0,0,0,0,67,52,41,0,0,202,80,0
Simpson,244,222,22,0,0,0,0,67,50,40,0,0,244,0,0
Trigg,353,328,25,0,0,0,0,87,49,37,0,0,353,0,0
Warren,348,237,111,0,0,0,0,76,58,44,0,0,98,250,0
Washington,364,331,33,0,0,0,0,80,50,39,0,0,364,0,0
Ascension,361,319,41,1,0,0,0,101,54,33,0,7,354,0,0
Bossier,357,282,75,0,0,0,0,86,55,37,0,0,175,175,7
Caddo,356,271,85,0,0,0,0,82,59,39,0,0,251,105,0
Calcasieu,365,131,234,0,0,0,0,90,65,53,0,1,69,295,0
East Baton Rouge,365,190,173,2,0,0,0,108,71,50,0,3,102,260,0
Iberville,365,290,71,4,0,0,0,119,59,38,0,1,283,81,0
Jefferson,365,269,96,0,0,0,0,84,58,42,0,2,204,159,0
Lafayette,365,212,153,0,0,0,0,84,61,46,0,0,116,249,0
Lafourche,360,173,185,2,0,0,0,126,63,51,0,0,81,279,0
Livingston,365,198,167,0,0,0,0,97,63,48,0,0,103,262,0
Orleans,365,292,73,0,0,0,0,90,57,36,0,52,0,307,6
Ouachita,363,310,53,0,0,0,0,71,52,36,0,0,300,63,0
Pointe Coupee,351,322,26,3,0,0,0,112,49,33,0,0,351,0,0
Rapides,119,88,31,0,0,0,0,74,58,40,0,0,0,119,0
St. Bernard,365,159,205,1,0,0,0,112,64,52,0,0,82,283,0
St. James,359,344,15,0,0,0,0,97,46,29,0,0,359,0,0
St. John the Baptist,364,334,30,0,0,0,0,93,48,33,0,0,364,0,0
St. Martin,355,330,25,0,0,0,0,80,48,34,0,0,355,0,0
St. Tammany,363,266,97,0,0,0,0,84,60,41,0,0,187,176,0
Tangipahoa,117,84,33,0,0,0,0,68,58,40,0,0,0,117,0
Terrebonne,120,93,27,0,0,0,0,73,57,37,0,0,0,120,0
West Baton Rouge,364,202,162,0,0,0,0,100,62,47,0,8,93,263,0
Androscoggin,361,327,34,0,0,0,0,76,49,33,0,0,162,198,1
Aroostook,365,304,59,1,1,0,0,182,55,36,0,0,176,176,13
Cumberland,365,208,157,0,0,0,0,100,59,47,0,0,65,297,3
Hancock,365,339,25,1,0,0,0,105,49,37,2,0,320,42,1
Kennebec,361,352,9,0,0,0,0,70,44,29,0,129,211,21,0
Knox,213,204,9,0,0,0,0,84,47,36,0,0,213,0,0
Oxford,334,305,29,0,0,0,0,72,49,33,0,0,148,186,0
Penobscot,362,336,26,0,0,0,0,72,47,33,0,0,177,182,3
Washington,363,360,3,0,0,0,0,71,45,34,0,0,362,1,0
York,231,216,14,1,0,0,0,115,48,38,0,0,231,0,0
Anne Arundel,264,179,78,7,0,0,0,143,77,45,0,0,243,0,21
