Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Year
2021-03-23,AQS,540030003,1,0.044,ppm,41,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-24,AQS,540030003,1,0.026,ppm,24,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-25,AQS,540030003,1,0.027,ppm,25,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-26,AQS,540030003,1,0.046,ppm,43,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-27,AQS,540030003,1,0.045,ppm,42,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-28,AQS,540030003,1,0.037,ppm,34,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-29,AQS,540030003,1,0.044,ppm,41,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-30,AQS,540030003,1,0.05,ppm,46,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-31,AQS,540030003,1,0.036,ppm,33,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-01,AQS,540030003,1,0.035,ppm,32,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-02,AQS,540030003,1,0.043,ppm,40,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-03,AQS,540030003,1,0.045,ppm,42,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-04,AQS,540030003,1,0.056,ppm,54,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-05,AQS,540030003,1,0.055,ppm,51,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-06,AQS,540030003,1,0.057,ppm,58,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-07,AQS,540030003,1,0.06,ppm,67,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-08,AQS,540030003,1,0.048,ppm,44,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-09,AQS,540030003,1,0.024,ppm,22,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-10,AQS,540030003,1,0.035,ppm,32,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-11,AQS,540030003,1,0.047,ppm,44,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-12,AQS,540030003,1,0.037,ppm,34,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-13,AQS,540030003,1,0.039,ppm,36,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-14,AQS,540030003,1,0.03,ppm,28,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-15,AQS,540030003,1,0.034,ppm,31,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-16,AQS,540030003,1,0.035,ppm,32,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-17,AQS,540030003,1,0.035,ppm,32,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-18,AQS,540030003,1,0.038,ppm,35,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-19,AQS,540030003,1,0.045,ppm,42,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-20,AQS,540030003,1,0.049,ppm,45,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-21,AQS,540030003,1,0.042,ppm,39,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-22,AQS,540030003,1,0.043,ppm,40,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-23,AQS,540030003,1,0.054,ppm,50,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-24,AQS,540030003,1,0.052,ppm,48,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-25,AQS,540030003,1,0.047,ppm,44,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-26,AQS,540030003,1,0.051,ppm,47,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-27,AQS,540030003,1,0.051,ppm,47,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-28,AQS,540030003,1,0.041,ppm,38,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-29,AQS,540030003,1,0.038,ppm,35,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-30,AQS,540030003,1,0.042,ppm,39,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-01,AQS,540030003,1,0.044,ppm,41,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-02,AQS,540030003,1,0.05,ppm,46,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-03,AQS,540030003,1,0.033,ppm,31,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-04,AQS,540030003,1,0.04,ppm,37,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-05,AQS,540030003,1,0.036,ppm,33,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-06,AQS,540030003,1,0.037,ppm,34,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-07,AQS,540030003,1,0.032,ppm,30,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-08,AQS,540030003,1,0.04,ppm,37,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-09,AQS,540030003,1,0.035,ppm,32,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-10,AQS,540030003,1,0.041,ppm,38,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-11,AQS,540030003,1,0.044,ppm,41,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-12,AQS,540030003,1,0.036,ppm,33,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-13,AQS,540030003,1,0.042,ppm,39,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-14,AQS,540030003,1,0.045,ppm,42,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-15,AQS,540030003,1,0.053,ppm,49,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-16,AQS,540030003,1,0.04,ppm,37,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
