Date,Source,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
06/30/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/01/2021,AQS,540290009,1,6,ug/m3 SC,6,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/02/2021,AQS,540290009,1,6,ug/m3 SC,6,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/03/2021,AQS,540290009,1,7,ug/m3 SC,6,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/04/2021,AQS,540290009,1,19,ug/m3 SC,18,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/05/2021,AQS,540290009,1,29,ug/m3 SC,27,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/06/2021,AQS,540290009,1,26,ug/m3 SC,24,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/07/2021,AQS,540290009,1,25,ug/m3 SC,23,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/08/2021,AQS,540290009,1,9,ug/m3 SC,8,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/09/2021,AQS,540290009,1,7,ug/m3 SC,6,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
