"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/02/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/03/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/04/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/05/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/06/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/07/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/08/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/09/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/10/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/11/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/12/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/13/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/14/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/15/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/16/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/17/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/18/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/19/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/20/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/21/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/22/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/23/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/24/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/25/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/26/2024","AQS","540390020","1","0.5","ppm","6","Dixie St.","16","67.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/27/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/28/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/29/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/01/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/02/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/03/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/04/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/05/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/06/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/07/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/08/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/09/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/10/2024","AQS","540390020","1","0.1","ppm","1","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/11/2024","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/12/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/13/2024","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/14/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/15/2024","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
