"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","540090011","1","5","ug/m3 SC","5","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/02/2024","AQS","540090011","1","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/03/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/04/2024","AQS","540090011","1","6","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/05/2024","AQS","540090011","1","16","ug/m3 SC","15","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/06/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/07/2024","AQS","540090011","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/08/2024","AQS","540090011","1","20","ug/m3 SC","19","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/09/2024","AQS","540090011","1","5","ug/m3 SC","5","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/10/2024","AQS","540090011","1","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/11/2024","AQS","540090011","1","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
