"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/27/2023","AQS","540030003","1","0.045","ppm","42","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/28/2023","AQS","540030003","1","0.048","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/29/2023","AQS","540030003","1","0.051","ppm","47","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/30/2023","AQS","540030003","1","0.05","ppm","46","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/31/2023","AQS","540030003","1","0.043","ppm","40","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/01/2023","AQS","540030003","1","0.05","ppm","46","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/02/2023","AQS","540030003","1","0.048","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/03/2023","AQS","540030003","1","0.047","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/04/2023","AQS","540030003","1","0.049","ppm","45","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/05/2023","AQS","540030003","1","0.043","ppm","40","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/06/2023","AQS","540030003","1","0.043","ppm","40","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/07/2023","AQS","540030003","1","0.046","ppm","43","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/08/2023","AQS","540030003","1","0.048","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/09/2023","AQS","540030003","1","0.052","ppm","48","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/10/2023","AQS","540030003","1","0.053","ppm","49","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/11/2023","AQS","540030003","1","0.055","ppm","51","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/12/2023","AQS","540030003","1","0.059","ppm","64","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/13/2023","AQS","540030003","1","0.066","ppm","87","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/14/2023","AQS","540030003","1","0.059","ppm","64","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/15/2023","AQS","540030003","1","0.045","ppm","42","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/16/2023","AQS","540030003","1","0.05","ppm","46","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/17/2023","AQS","540030003","1","0.044","ppm","41","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/18/2023","AQS","540030003","1","0.056","ppm","54","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/19/2023","AQS","540030003","1","0.062","ppm","74","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/21/2023","AQS","540030003","1","0.072","ppm","105","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/22/2023","AQS","540030003","1","0.048","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/23/2023","AQS","540030003","1","0.041","ppm","38","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/24/2023","AQS","540030003","1","0.049","ppm","45","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/25/2023","AQS","540030003","1","0.05","ppm","46","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/26/2023","AQS","540030003","1","0.054","ppm","50","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/27/2023","AQS","540030003","1","0.056","ppm","54","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/28/2023","AQS","540030003","1","0.041","ppm","38","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/29/2023","AQS","540030003","1","0.039","ppm","36","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"04/30/2023","AQS","540030003","1","0.041","ppm","38","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/01/2023","AQS","540030003","1","0.034","ppm","31","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/02/2023","AQS","540030003","1","0.03","ppm","28","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/03/2023","AQS","540030003","1","0.03","ppm","28","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/04/2023","AQS","540030003","1","0.032","ppm","30","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/05/2023","AQS","540030003","1","0.04","ppm","37","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/06/2023","AQS","540030003","1","0.048","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/07/2023","AQS","540030003","1","0.037","ppm","34","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/08/2023","AQS","540030003","1","0.054","ppm","50","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/09/2023","AQS","540030003","1","0.046","ppm","43","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/10/2023","AQS","540030003","1","0.049","ppm","45","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/11/2023","AQS","540030003","1","0.058","ppm","61","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/12/2023","AQS","540030003","1","0.065","ppm","84","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/13/2023","AQS","540030003","1","0.04","ppm","37","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/14/2023","AQS","540030003","1","0.045","ppm","42","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/15/2023","AQS","540030003","1","0.047","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/16/2023","AQS","540030003","1","0.047","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/17/2023","AQS","540030003","1","0.054","ppm","50","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/18/2023","AQS","540030003","1","0.053","ppm","49","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/19/2023","AQS","540030003","1","0.049","ppm","45","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/20/2023","AQS","540030003","1","0.04","ppm","37","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/21/2023","AQS","540030003","1","0.042","ppm","39","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/22/2023","AQS","540030003","1","0.051","ppm","47","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/23/2023","AQS","540030003","1","0.055","ppm","51","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/24/2023","AQS","540030003","1","0.056","ppm","54","MARTINSBURG BALL FIELD","13","76.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/25/2023","AQS","540030003","1","0.049","ppm","45","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/26/2023","AQS","540030003","1","0.052","ppm","48","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/27/2023","AQS","540030003","1","0.056","ppm","54","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/28/2023","AQS","540030003","1","0.054","ppm","50","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/29/2023","AQS","540030003","1","0.053","ppm","49","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/30/2023","AQS","540030003","1","0.056","ppm","54","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"05/31/2023","AQS","540030003","1","0.061","ppm","71","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/01/2023","AQS","540030003","1","0.075","ppm","115","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/02/2023","AQS","540030003","1","0.071","ppm","101","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/03/2023","AQS","540030003","1","0.069","ppm","97","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/04/2023","AQS","540030003","1","0.042","ppm","39","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/05/2023","AQS","540030003","1","0.042","ppm","39","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/06/2023","AQS","540030003","1","0.065","ppm","84","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/07/2023","AQS","540030003","1","0.059","ppm","64","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/08/2023","AQS","540030003","1","0.053","ppm","49","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/09/2023","AQS","540030003","1","0.037","ppm","34","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/10/2023","AQS","540030003","1","0.05","ppm","46","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/11/2023","AQS","540030003","1","0.061","ppm","71","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/12/2023","AQS","540030003","1","0.036","ppm","33","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/13/2023","AQS","540030003","1","0.048","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
