Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Year
2021-03-20,AQS,540030003,1,10.6,ug/m3 LC,54,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-23,AQS,540030003,1,9.1,ug/m3 LC,51,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-26,AQS,540030003,1,4.7,ug/m3 LC,26,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-29,AQS,540030003,1,6.9,ug/m3 LC,38,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-04,AQS,540030003,1,9.5,ug/m3 LC,52,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-07,AQS,540030003,1,16.6,ug/m3 LC,65,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-10,AQS,540030003,1,7.3,ug/m3 LC,41,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-13,AQS,540030003,1,6.7,ug/m3 LC,37,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-16,AQS,540030003,1,3.3,ug/m3 LC,18,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-04-19,AQS,540030003,1,9.8,ug/m3 LC,52,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
