County,County Value,Error Margin,AIAN,Asian,Black,Hispanic,White
"West Virginia","$49,200","$47,900 to $50,500",,,,,
"Barbour","$43,800","$36,200 to $51,400",,,,,
"Berkeley","$67,200","$61,000 to $73,400",,"$58,400","$51,000","$70,200","$66,200"
"Boone","$49,100","$43,900 to $54,300",,,,,
"Braxton","$48,000","$41,600 to $54,300",,,,,
"Brooke","$50,400","$41,400 to $59,300",,"$61,600",,,"$48,600"
"Cabell","$44,200","$38,300 to $50,000",,,"$18,100","$42,000","$43,500"
"Calhoun","$41,700","$35,300 to $48,200",,,,,
"Clay","$36,500","$29,800 to $43,300",,,,,
"Doddridge","$50,400","$41,300 to $59,600",,,,,
"Fayette","$42,000","$37,300 to $46,700","$20,700",,"$31,800",,"$44,300"
"Gilmer","$41,600","$34,200 to $48,900",,,,,
"Grant","$45,600","$37,900 to $53,400",,,,,
"Greenbrier","$40,000","$34,900 to $45,100",,,"$24,800","$116,300","$41,000"
"Hampshire","$53,300","$44,400 to $62,200",,,"$98,400","$33,300","$49,000"
"Hancock","$52,300","$43,500 to $61,100",,,"$50,100","$21,300","$48,500"
"Hardy","$47,500","$39,000 to $56,000",,,"$71,900",,"$45,300"
"Harrison","$52,100","$44,200 to $59,900",,"$100,200","$58,200","$42,300","$52,200"
"Jackson","$52,100","$43,100 to $61,100",,,,"$55,700","$48,900"
"Jefferson","$85,800","$77,900 to $93,700",,"$115,900","$49,000","$73,000","$85,500"
"Kanawha","$47,800","$44,200 to $51,500",,"$82,300","$28,600","$66,100","$48,300"
"Lewis","$53,500","$46,800 to $60,100",,"$19,300",,"$75,400","$42,100"
"Lincoln","$40,700","$33,400 to $48,100",,,,,
"Logan","$38,600","$31,800 to $45,400",,"$34,000",,"$26,500","$37,100"
"Marion","$58,900","$53,400 to $64,300",,,"$25,500","$83,400","$54,300"
"Marshall","$54,000","$46,300 to $61,800",,,"$56,000","$48,300","$47,500"
"Mason","$44,300","$37,300 to $51,300",,,,"$50,100","$52,600"
"McDowell","$26,600","$22,500 to $30,600",,,"$21,800","$13,800","$27,200"
"Mercer","$42,100","$37,000 to $47,200",,"$70,900","$26,600",,"$42,100"
"Mineral","$50,300","$42,100 to $58,500",,,"$40,800","$35,800","$52,100"
"Mingo","$33,000","$27,900 to $38,000",,,,,
"Monongalia","$55,800","$49,100 to $62,600",,,"$44,000","$42,800","$55,700"
"Monroe","$46,900","$40,100 to $53,600",,,,,
"Morgan","$57,400","$50,200 to $64,700",,,,,
"Nicholas","$42,700","$35,900 to $49,600",,,,,
"Ohio","$41,300","$35,400 to $47,200",,,"$22,300",,"$49,600"
"Pendleton","$47,200","$38,900 to $55,500",,,"$63,200",,"$45,900"
"Pleasants","$55,300","$48,000 to $62,600",,,,,
"Pocahontas","$41,200","$33,600 to $48,800",,,,,
"Preston","$51,800","$46,300 to $57,200",,,,"$33,200","$52,600"
"Putnam","$69,200","$59,200 to $79,100",,,,,
"Raleigh","$44,500","$36,800 to $52,200",,,"$39,800","$67,500","$43,000"
"Randolph","$48,300","$42,300 to $54,300",,"$43,400",,"$133,200","$44,600"
"Ritchie","$45,100","$38,600 to $51,500",,,,,
"Roane","$42,400","$35,500 to $49,300",,,,,
"Summers","$38,700","$31,700 to $45,600",,,"$49,300",,"$37,200"
"Taylor","$53,600","$48,000 to $59,100",,,,,
"Tucker","$44,500","$40,100 to $48,800",,,,,
"Tyler","$46,700","$39,500 to $53,900",,,,,
"Upshur","$46,200","$37,900 to $54,400",,,,,
"Wayne","$45,500","$37,900 to $53,100",,,"$68,800","$71,800","$43,500"
"Webster","$34,400","$28,000 to $40,800",,,,,
"Wetzel","$47,300","$39,300 to $55,300",,,,,
"Wirt","$49,500","$40,800 to $58,200",,,,,
"Wood","$47,000","$42,000 to $52,100","$55,800",,"$17,500","$75,500","$49,100"
"Wyoming","$39,100","$32,300 to $46,000",,,,,
