County,County Value,Error Margin,AIAN,Asian,Black,Hispanic,White
"West Virginia","$44,000","$42,900 to $45,200",,,,,
"Barbour","$39,800","$34,800 to $44,700",,,,,
"Berkeley","$59,600","$55,900 to $63,400",,"$55,400","$47,900","$59,300","$62,500"
"Boone","$38,100","$33,400 to $42,800",,,,"$35,700","$38,800"
"Braxton","$39,300","$34,600 to $44,000",,,,,
"Brooke","$48,300","$42,500 to $54,200",,"$71,100","$36,200","$38,000","$50,300"
"Cabell","$39,800","$36,200 to $43,300","$22,800","$42,400","$15,900","$37,000","$39,600"
"Calhoun","$36,400","$31,700 to $41,100",,,,,
"Clay","$36,000","$31,400 to $40,600",,,,,
"Doddridge","$44,700","$39,800 to $49,600",,,,,
"Fayette","$37,900","$33,900 to $41,800","$33,100",,"$32,100",,"$40,500"
"Gilmer","$38,200","$33,400 to $43,000",,,,,
"Grant","$42,100","$36,800 to $47,500",,,,"$32,000","$41,600"
"Greenbrier","$37,700","$34,500 to $40,900",,,"$27,900","$41,000","$40,100"
"Hampshire","$44,400","$39,000 to $49,900",,,"$18,500","$34,300","$40,500"
"Hancock","$47,300","$42,500 to $52,100",,,"$44,400","$30,700","$45,300"
"Hardy","$43,600","$40,000 to $47,100",,,"$64,700","$43,800","$46,500"
"Harrison","$47,900","$43,100 to $52,800",,,"$54,200","$41,300","$50,700"
"Jackson","$48,700","$43,600 to $53,900",,"$65,800",,,"$44,800"
"Jefferson","$75,000","$66,900 to $83,200","$18,500","$104,300","$64,300","$70,800","$78,300"
"Kanawha","$41,900","$39,600 to $44,200","$26,100","$77,100","$29,000","$54,300","$47,500"
"Lewis","$40,700","$35,800 to $45,600",,,,,
"Lincoln","$39,800","$35,500 to $44,000",,,,,
"Logan","$34,900","$31,600 to $38,100","$33,500","$42,500","$50,200","$24,400","$38,500"
"Marion","$46,200","$41,700 to $50,800",,,"$26,700","$81,500","$49,500"
"Marshall","$50,100","$45,800 to $54,300",,,"$53,600","$37,700","$43,400"
"Mason","$43,100","$38,100 to $48,000",,,,,
"McDowell","$27,300","$23,700 to $30,800",,,"$20,400",,"$27,200"
"Mercer","$37,900","$34,900 to $40,900",,"$72,900","$32,000",,"$40,500"
"Mineral","$48,600","$43,700 to $53,500",,"$243,700","$34,200","$20,700","$46,700"
"Mingo","$32,900","$28,900 to $36,900",,,"$25,300",,"$31,700"
"Monongalia","$51,100","$47,600 to $54,500","$150,700","$50,400","$32,400","$43,800","$50,900"
"Monroe","$38,200","$34,600 to $41,800",,,"$20,600",,"$36,900"
"Morgan","$49,500","$44,300 to $54,700",,,"$63,200","$49,100","$50,700"
"Nicholas","$38,600","$34,000 to $43,100",,,,,
"Ohio","$48,700","$43,400 to $53,900",,"$71,900","$25,900",,"$49,500"
"Pendleton","$40,400","$35,900 to $44,900",,,"$44,100",,"$41,100"
"Pleasants","$50,800","$44,400 to $57,200",,,,,
"Pocahontas","$39,500","$35,100 to $43,800",,,,,
"Preston","$47,100","$42,200 to $52,000",,,,"$33,100","$48,800"
"Putnam","$62,000","$54,800 to $69,200","$42,200",,"$66,200","$48,700","$59,700"
"Raleigh","$41,300","$36,300 to $46,300",,,"$35,400","$63,200","$42,300"
"Randolph","$40,100","$35,000 to $45,100","$32,200","$44,600","$28,400","$63,400","$41,300"
"Ritchie","$43,700","$38,600 to $48,900",,,,,
"Roane","$36,700","$32,000 to $41,300","$40,700",,,,"$34,000"
"Summers","$34,800","$30,900 to $38,600",,,"$31,800",,"$36,500"
"Taylor","$46,400","$41,300 to $51,500",,,,,
"Tucker","$48,100","$45,100 to $51,000",,,,,
"Tyler","$46,100","$40,100 to $52,000",,,,,
"Upshur","$41,200","$36,500 to $45,900",,,"$75,400",,"$40,700"
"Wayne","$38,700","$34,100 to $43,400",,"$94,900",,"$77,700","$36,800"
"Webster","$34,100","$30,200 to $37,900",,,,,
"Wetzel","$44,700","$39,100 to $50,200",,,,,
"Wirt","$44,800","$39,200 to $50,500",,,,"$21,300","$41,200"
"Wood","$45,300","$40,900 to $49,700","$56,500","$106,000","$24,600",,"$46,500"
"Wyoming","$35,500","$30,800 to $40,100",,,,,
