County,income,healthcare,smoking
McDowell,28700.0,4230,34.0
McDowell,29000.0,3670,31.0
Mercer,36900.0,1530,24.0
Mercer,36200.0,1590,24.0
Mercer,37900.0,1490,25.0
Mercer,41800.0,1600,26.0
Mercer,42100.0,1730,27.0
Mercer,45700.0,1820,26.0
Mercer,43900.0,1970,22.0
Mineral,45400.0,3430,22.0
Mineral,45100.0,3050,22.0
Mineral,48600.0,3020,21.0
Mineral,49700.0,2990,25.0
Mineral,50300.0,3360,23.0
Mineral,55000.0,3340,22.0
Mineral,59700.0,3360,20.0
Mingo,30600.0,3160,25.0
Mingo,30900.0,4930,25.0
Mingo,32900.0,4830,30.0
Mingo,34700.0,5950,34.0
Mingo,33000.0,5860,30.0
Mingo,33400.0,5740,30.0
Mingo,35800.0,7670,28.0
Monongalia,49700.0,810,20.0
Monongalia,50600.0,770,20.0
Monongalia,51100.0,760,20.0
Monongalia,55700.0,730,21.0
Monongalia,55800.0,680,20.0
Monongalia,56700.0,710,19.0
Monongalia,59100.0,750,16.0
Monroe,38400.0,2250,22.0
Monroe,44200.0,2230,22.0
Monroe,38200.0,2680,23.0
Monroe,44700.0,2660,28.0
Monroe,46900.0,2660,26.0
Monroe,47300.0,2650,24.0
Monroe,53200.0,2470,23.0
Morgan,59600.0,1950,20.0
Morgan,44400.0,1960,20.0
Morgan,49500.0,1770,21.0
Morgan,50700.0,1980,25.0
Morgan,57400.0,1990,24.0
Morgan,58500.0,2230,23.0
Morgan,56200.0,1910,21.0
Nicholas,37400.0,1110,22.0
Nicholas,37400.0,1100,22.0
Nicholas,38600.0,1040,21.0
Nicholas,40000.0,1080,28.0
Nicholas,42700.0,1170,26.0
Nicholas,47200.0,1110,25.0
Nicholas,46800.0,1160,22.0
Ohio,43200.0,580,19.0
Ohio,47800.0,570,19.0
Ohio,48700.0,630,22.0
Ohio,50400.0,600,22.0
Ohio,41300.0,600,22.0
Ohio,53600.0,660,21.0
Ohio,60200.0,760,19.0
Pendleton,40000.0,2410,21.0
Pendleton,41300.0,2350,21.0
Pendleton,40400.0,2330,22.0
Pendleton,43500.0,2330,28.0
Pendleton,47200.0,2320,26.0
Pendleton,48000.0,2310,25.0
Pendleton,52600.0,3070,23.0
Pleasants,47300.0,3840,21.0
Pleasants,47100.0,3800,21.0
Pleasants,50800.0,7510,22.0
Pleasants,55000.0,7510,27.0
Pleasants,55300.0,7460,25.0
Pleasants,53700.0,7440,24.0
Pleasants,56400.0,7600,21.0
Pocahontas,35900.0,2150,22.0
Pocahontas,35400.0,2130,22.0
Pocahontas,39500.0,2110,23.0
Pocahontas,39500.0,2100,27.0
Pocahontas,41200.0,2750,27.0
Pocahontas,40300.0,2730,27.0
Pocahontas,44600.0,1960,26.0
Preston,44400.0,2830,22.0
Preston,45200.0,3070,22.0
Preston,47100.0,2590,21.0
Preston,50800.0,2420,25.0
Preston,51800.0,2570,25.0
Preston,57200.0,2380,24.0
Preston,56000.0,2640,22.0
Putnam,56800.0,920,18.0
Putnam,59800.0,930,18.0
Putnam,62000.0,950,20.0
Putnam,67000.0,930,22.0
Putnam,69200.0,970,21.0
Putnam,66900.0,940,19.0
Putnam,80000.0,950,19.0
Raleigh,42300.0,1060,23.0
Raleigh,41300.0,1110,23.0
Raleigh,41300.0,1140,25.0
Raleigh,45400.0,1180,27.0
Raleigh,44500.0,1260,25.0
Raleigh,42500.0,1260,25.0
Raleigh,51300.0,1290,24.0
Randolph,38500.0,1460,24.0
Randolph,37200.0,1260,24.0
Randolph,40100.0,1150,22.0
Randolph,46300.0,1370,28.0
Randolph,48300.0,1430,26.0
Randolph,44500.0,1490,26.0
Randolph,49400.0,1320,22.0
Ritchie,42200.0,4990,24.0
Ritchie,40600.0,4940,24.0
Ritchie,43700.0,4890,22.0
Ritchie,46100.0,4860,28.0
Ritchie,45100.0,4780,26.0
Ritchie,47900.0,4750,26.0
Ritchie,52000.0,8380,25.0
Roane,35100.0,2060,23.0
Roane,37100.0,1780,23.0
Roane,36700.0,1760,23.0
Roane,41700.0,1990,30.0
Roane,42400.0,1960,27.0
Roane,41200.0,1930,27.0
Roane,42700.0,1740,26.0
Summers,31500.0,2650,23.0
Summers,32400.0,2570,23.0
Summers,34800.0,2600,24.0
Summers,37000.0,3190,28.0
Summers,38700.0,3140,26.0
Summers,40700.0,4150,26.0
Summers,40600.0,3970,24.0
Taylor,44600.0,3380,22.0
Taylor,45400.0,2810,22.0
Taylor,46400.0,2820,21.0
Taylor,48300.0,2810,26.0
Taylor,53600.0,2780,26.0
Taylor,51600.0,2780,24.0
Taylor,54000.0,4120,22.0
Tucker,42100.0,2320,20.0
Tucker,39500.0,2310,20.0
Tucker,48100.0,2310,21.0
Tucker,47200.0,2320,26.0
Tucker,44500.0,2280,23.0
Tucker,49100.0,1700,23.0
Tucker,50400.0,1670,21.0
Tyler,42400.0,2240,21.0
Tyler,44000.0,2240,21.0
Tyler,46100.0,1760,21.0
Tyler,48300.0,2190,26.0
Tyler,46700.0,2860,25.0
Tyler,51600.0,2840,24.0
Tyler,57600.0,4080,21.0
Upshur,40500.0,2250,22.0
Upshur,37900.0,2240,22.0
Upshur,41200.0,2450,24.0
Upshur,45100.0,2030,28.0
Upshur,46200.0,1610,26.0
Upshur,49700.0,1620,26.0
Upshur,47000.0,1700,24.0
Wayne,40900.0,1640,24.0
Wayne,39400.0,1560,24.0
Wayne,38700.0,1830,23.0
Wayne,42100.0,1820,29.0
Wayne,45500.0,1710,28.0
Wayne,49200.0,1860,27.0
Wayne,52500.0,2140,25.0
Webster,30600.0,1750,24.0
Webster,31400.0,2160,24.0
Webster,34100.0,2790,23.0
Webster,34400.0,2760,31.0
Webster,34400.0,2700,29.0
Webster,36900.0,4030,30.0
Webster,40600.0,4120,27.0
Wetzel,42700.0,1980,24.0
Wetzel,41900.0,1740,24.0
Wetzel,44700.0,1930,24.0
Wetzel,46800.0,1910,28.0
Wetzel,47300.0,2150,27.0
Wetzel,50100.0,2480,25.0
Wetzel,48600.0,2360,23.0
Wirt,37500.0,5880,23.0
Wirt,42300.0,5810,23.0
Wirt,44800.0,5790,23.0
Wirt,48600.0,5830,29.0
Wirt,49500.0,5820,28.0
Wirt,50200.0,5710,28.0
Wirt,43400.0,5060,25.0
Wood,46700.0,1170,21.0
Wood,44700.0,1240,21.0
Wood,45300.0,1220,24.0
Wood,49200.0,1170,25.0
Wood,47000.0,1160,23.0
Wood,53400.0,1140,23.0
Wood,57600.0,1160,21.0
Wyoming,36000.0,3690,25.0
Wyoming,34600.0,3630,25.0
Wyoming,35500.0,3540,24.0
Wyoming,42800.0,3460,29.0
Wyoming,39100.0,4080,30.0
Wyoming,37500.0,5030,29.0
Wyoming,39900.0,3510,27.0
