NIC_PT,NUI_PT,NAME,IPRCAT,AGECAT,SEXCAT,YEAR,state,county
3756,635,"Brooke County, WV",0,2,2,2006,54,009
619,464,"Brooke County, WV",1,2,2,2006,54,009
4330,447,"Brooke County, WV",0,4,0,2006,54,009
1604,317,"Brooke County, WV",1,4,0,2006,54,009
64540,13002,"Cabell County, WV",0,0,0,2006,54,011
21127,8069,"Cabell County, WV",1,0,0,2006,54,011
31423,7004,"Cabell County, WV",0,0,1,2006,54,011
9864,3981,"Cabell County, WV",1,0,1,2006,54,011
33117,5998,"Cabell County, WV",0,0,2,2006,54,011
11263,4089,"Cabell County, WV",1,0,2,2006,54,011
46706,11410,"Cabell County, WV",0,1,0,2006,54,011
12981,7175,"Cabell County, WV",1,1,0,2006,54,011
22396,6171,"Cabell County, WV",0,1,1,2006,54,011
5723,3538,"Cabell County, WV",1,1,1,2006,54,011
24311,5239,"Cabell County, WV",0,1,2,2006,54,011
7258,3638,"Cabell County, WV",1,1,2,2006,54,011
25462,4205,"Cabell County, WV",0,2,0,2006,54,011
6279,2239,"Cabell County, WV",1,2,0,2006,54,011
12193,2192,"Cabell County, WV",0,2,1,2006,54,011
2990,907,"Cabell County, WV",1,2,1,2006,54,011
13269,2014,"Cabell County, WV",0,2,2,2006,54,011
3289,1332,"Cabell County, WV",1,2,2,2006,54,011
18908,1746,"Cabell County, WV",0,4,0,2006,54,011
8438,965,"Cabell County, WV",1,4,0,2006,54,011
4455,1558,"Calhoun County, WV",0,0,0,2006,54,013
2338,834,"Calhoun County, WV",1,0,0,2006,54,013
2228,836,"Calhoun County, WV",0,0,1,2006,54,013
1133,426,"Calhoun County, WV",1,0,1,2006,54,013
1545,741,"Calhoun County, WV",1,1,0,2006,54,013
2228,723,"Calhoun County, WV",0,0,2,2006,54,013
1205,408,"Calhoun County, WV",1,0,2,2006,54,013
3216,1425,"Calhoun County, WV",0,1,0,2006,54,013
1600,766,"Calhoun County, WV",0,1,1,2006,54,013
732,378,"Calhoun County, WV",1,1,1,2006,54,013
1616,660,"Calhoun County, WV",0,1,2,2006,54,013
813,364,"Calhoun County, WV",1,1,2,2006,54,013
1965,770,"Calhoun County, WV",0,2,0,2006,54,013
879,391,"Calhoun County, WV",1,2,0,2006,54,013
983,404,"Calhoun County, WV",0,2,1,2006,54,013
428,199,"Calhoun County, WV",1,2,1,2006,54,013
982,366,"Calhoun County, WV",0,2,2,2006,54,013
450,192,"Calhoun County, WV",1,2,2,2006,54,013
1311,151,"Calhoun County, WV",0,4,0,2006,54,013
827,100,"Calhoun County, WV",1,4,0,2006,54,013
7006,1603,"Clay County, WV",0,0,0,2006,54,015
3468,1087,"Clay County, WV",1,0,0,2006,54,015
3484,833,"Clay County, WV",0,0,1,2006,54,015
1686,526,"Clay County, WV",1,0,1,2006,54,015
3522,770,"Clay County, WV",0,0,2,2006,54,015
1782,561,"Clay County, WV",1,0,2,2006,54,015
4940,1406,"Clay County, WV",0,1,0,2006,54,015
2128,945,"Clay County, WV",1,1,0,2006,54,015
2431,732,"Clay County, WV",0,1,1,2006,54,015
1000,452,"Clay County, WV",1,1,1,2006,54,015
2509,674,"Clay County, WV",0,1,2,2006,54,015
1128,493,"Clay County, WV",1,1,2,2006,54,015
2863,598,"Clay County, WV",0,2,0,2006,54,015
1190,400,"Clay County, WV",1,2,0,2006,54,015
1442,305,"Clay County, WV",0,2,1,2006,54,015
596,192,"Clay County, WV",1,2,1,2006,54,015
1422,293,"Clay County, WV",0,2,2,2006,54,015
594,208,"Clay County, WV",1,2,2,2006,54,015
2180,219,"Clay County, WV",0,4,0,2006,54,015
1385,156,"Clay County, WV",1,4,0,2006,54,015
4766,1384,"Doddridge County, WV",0,0,0,2006,54,017
1830,951,"Doddridge County, WV",1,0,0,2006,54,017
954,502,"Doddridge County, WV",1,0,2,2006,54,017
2432,731,"Doddridge County, WV",0,0,1,2006,54,017
876,449,"Doddridge County, WV",1,0,1,2006,54,017
2334,654,"Doddridge County, WV",0,0,2,2006,54,017
3448,1224,"Doddridge County, WV",0,1,0,2006,54,017
1084,837,"Doddridge County, WV",1,1,0,2006,54,017
1747,647,"Doddridge County, WV",0,1,1,2006,54,017
510,387,"Doddridge County, WV",1,1,1,2006,54,017
1701,577,"Doddridge County, WV",0,1,2,2006,54,017
574,450,"Doddridge County, WV",1,1,2,2006,54,017
2055,628,"Doddridge County, WV",0,2,0,2006,54,017
611,436,"Doddridge County, WV",1,2,0,2006,54,017
1014,296,"Doddridge County, WV",0,2,1,2006,54,017
303,170,"Doddridge County, WV",1,2,1,2006,54,017
1041,332,"Doddridge County, WV",0,2,2,2006,54,017
309,266,"Doddridge County, WV",1,2,2,2006,54,017
1386,175,"Doddridge County, WV",0,4,0,2006,54,017
763,122,"Doddridge County, WV",1,4,0,2006,54,017
31145,6483,"Fayette County, WV",0,0,0,2006,54,019
13420,3589,"Fayette County, WV",1,0,0,2006,54,019
15415,3502,"Fayette County, WV",0,0,1,2006,54,019
6399,1765,"Fayette County, WV",1,0,1,2006,54,019
15730,2981,"Fayette County, WV",0,0,2,2006,54,019
7021,1823,"Fayette County, WV",1,0,2,2006,54,019
22183,5677,"Fayette County, WV",0,1,0,2006,54,019
8238,3099,"Fayette County, WV",1,1,0,2006,54,019
10765,3077,"Fayette County, WV",0,1,1,2006,54,019
3718,1507,"Fayette County, WV",1,1,1,2006,54,019
11418,2600,"Fayette County, WV",0,1,2,2006,54,019
4520,1592,"Fayette County, WV",1,1,2,2006,54,019
13134,2403,"Fayette County, WV",0,2,0,2006,54,019
4508,1222,"Fayette County, WV",1,2,0,2006,54,019
6381,1279,"Fayette County, WV",0,2,1,2006,54,019
2104,611,"Fayette County, WV",1,2,1,2006,54,019
6753,1124,"Fayette County, WV",0,2,2,2006,54,019
2404,611,"Fayette County, WV",1,2,2,2006,54,019
9321,883,"Fayette County, WV",0,4,0,2006,54,019
5313,524,"Fayette County, WV",1,4,0,2006,54,019
808,490,"Gilmer County, WV",1,0,1,2006,54,021
4107,1348,"Gilmer County, WV",0,0,0,2006,54,021
1662,952,"Gilmer County, WV",1,0,0,2006,54,021
2025,747,"Gilmer County, WV",0,0,1,2006,54,021
2082,601,"Gilmer County, WV",0,0,2,2006,54,021
854,462,"Gilmer County, WV",1,0,2,2006,54,021
3043,1226,"Gilmer County, WV",0,1,0,2006,54,021
1113,868,"Gilmer County, WV",1,1,0,2006,54,021
1505,682,"Gilmer County, WV",0,1,1,2006,54,021
527,444,"Gilmer County, WV",1,1,1,2006,54,021
1539,544,"Gilmer County, WV",0,1,2,2006,54,021
585,425,"Gilmer County, WV",1,1,2,2006,54,021
1704,519,"Gilmer County, WV",0,2,0,2006,54,021
601,359,"Gilmer County, WV",1,2,0,2006,54,021
813,285,"Gilmer County, WV",0,2,1,2006,54,021
301,181,"Gilmer County, WV",1,2,1,2006,54,021
891,234,"Gilmer County, WV",0,2,2,2006,54,021
301,177,"Gilmer County, WV",1,2,2,2006,54,021
1120,135,"Gilmer County, WV",0,4,0,2006,54,021
574,93,"Gilmer County, WV",1,4,0,2006,54,021
7579,2058,"Grant County, WV",0,0,0,2006,54,023
2403,1260,"Grant County, WV",1,0,0,2006,54,023
3784,1093,"Grant County, WV",0,0,1,2006,54,023
1089,610,"Grant County, WV",1,0,1,2006,54,023
3796,965,"Grant County, WV",0,0,2,2006,54,023
1313,649,"Grant County, WV",1,0,2,2006,54,023
5394,1785,"Grant County, WV",0,1,0,2006,54,023
1330,1076,"Grant County, WV",1,1,0,2006,54,023
2668,957,"Grant County, WV",0,1,1,2006,54,023
562,522,"Grant County, WV",1,1,1,2006,54,023
2726,828,"Grant County, WV",0,1,2,2006,54,023
768,554,"Grant County, WV",1,1,2,2006,54,023
3166,820,"Grant County, WV",0,2,0,2006,54,023
681,458,"Grant County, WV",1,2,0,2006,54,023
1570,426,"Grant County, WV",0,2,1,2006,54,023
302,217,"Grant County, WV",1,2,1,2006,54,023
1597,394,"Grant County, WV",0,2,2,2006,54,023
379,241,"Grant County, WV",1,2,2,2006,54,023
7916,3285,"Greenbrier County, WV",1,0,0,2006,54,025
2282,299,"Grant County, WV",0,4,0,2006,54,023
1098,199,"Grant County, WV",1,4,0,2006,54,023
22696,5691,"Greenbrier County, WV",0,0,0,2006,54,025
11034,2997,"Greenbrier County, WV",0,0,1,2006,54,025
3621,1577,"Greenbrier County, WV",1,0,1,2006,54,025
11662,2693,"Greenbrier County, WV",0,0,2,2006,54,025
4295,1708,"Greenbrier County, WV",1,0,2,2006,54,025
16225,4954,"Greenbrier County, WV",0,1,0,2006,54,025
4751,2834,"Greenbrier County, WV",1,1,0,2006,54,025
7751,2624,"Greenbrier County, WV",0,1,1,2006,54,025
2043,1353,"Greenbrier County, WV",1,1,1,2006,54,025
8474,2330,"Greenbrier County, WV",0,1,2,2006,54,025
2708,1482,"Greenbrier County, WV",1,1,2,2006,54,025
10062,2340,"Greenbrier County, WV",0,2,0,2006,54,025
2778,1280,"Greenbrier County, WV",1,2,0,2006,54,025
4819,1218,"Greenbrier County, WV",0,2,1,2006,54,025
1202,613,"Greenbrier County, WV",1,2,1,2006,54,025
5243,1123,"Greenbrier County, WV",0,2,2,2006,54,025
1576,667,"Greenbrier County, WV",1,2,2,2006,54,025
6780,813,"Greenbrier County, WV",0,4,0,2006,54,025
3256,483,"Greenbrier County, WV",1,4,0,2006,54,025
14908,4301,"Hampshire County, WV",0,0,0,2006,54,027
4321,2498,"Hampshire County, WV",1,0,0,2006,54,027
7455,2170,"Hampshire County, WV",0,0,1,2006,54,027
2047,1118,"Hampshire County, WV",1,0,1,2006,54,027
7453,2131,"Hampshire County, WV",0,0,2,2006,54,027
2274,1380,"Hampshire County, WV",1,0,2,2006,54,027
10413,3606,"Hampshire County, WV",0,1,0,2006,54,027
2300,2035,"Hampshire County, WV",1,1,0,2006,54,027
5165,1821,"Hampshire County, WV",0,1,1,2006,54,027
1017,884,"Hampshire County, WV",1,1,1,2006,54,027
5248,1785,"Hampshire County, WV",0,1,2,2006,54,027
1283,1151,"Hampshire County, WV",1,1,2,2006,54,027
6044,1665,"Hampshire County, WV",0,2,0,2006,54,027
1221,923,"Hampshire County, WV",1,2,0,2006,54,027
2996,785,"Hampshire County, WV",0,2,1,2006,54,027
4696,765,"Hampshire County, WV",0,4,0,2006,54,027
553,370,"Hampshire County, WV",1,2,1,2006,54,027
3048,880,"Hampshire County, WV",0,2,2,2006,54,027
668,553,"Hampshire County, WV",1,2,2,2006,54,027
2078,501,"Hampshire County, WV",1,4,0,2006,54,027
20598,4244,"Hancock County, WV",0,0,0,2006,54,029
4855,2832,"Hancock County, WV",1,0,0,2006,54,029
10145,2252,"Hancock County, WV",0,0,1,2006,54,029
2176,1363,"Hancock County, WV",1,0,1,2006,54,029
10453,1992,"Hancock County, WV",0,0,2,2006,54,029
2679,1469,"Hancock County, WV",1,0,2,2006,54,029
15029,3671,"Hancock County, WV",0,1,0,2006,54,029
2701,2417,"Hancock County, WV",1,1,0,2006,54,029
7333,1929,"Hancock County, WV",0,1,1,2006,54,029
1085,1123,"Hancock County, WV",1,1,1,2006,54,029
7697,1742,"Hancock County, WV",0,1,2,2006,54,029
1616,1293,"Hancock County, WV",1,1,2,2006,54,029
9456,1808,"Hancock County, WV",0,2,0,2006,54,029
1371,1140,"Hancock County, WV",1,2,0,2006,54,029
4624,932,"Hancock County, WV",0,2,1,2006,54,029
568,509,"Hancock County, WV",1,2,1,2006,54,029
4832,876,"Hancock County, WV",0,2,2,2006,54,029
803,632,"Hancock County, WV",1,2,2,2006,54,029
5859,614,"Hancock County, WV",0,4,0,2006,54,029
2209,433,"Hancock County, WV",1,4,0,2006,54,029
9149,2506,"Hardy County, WV",0,0,0,2006,54,031
2538,1495,"Hardy County, WV",1,0,0,2006,54,031
4530,1315,"Hardy County, WV",0,0,1,2006,54,031
1174,711,"Hardy County, WV",1,0,1,2006,54,031
4620,1191,"Hardy County, WV",0,0,2,2006,54,031
1365,784,"Hardy County, WV",1,0,2,2006,54,031
6501,2101,"Hardy County, WV",0,1,0,2006,54,031
1364,1224,"Hardy County, WV",1,1,0,2006,54,031
3177,1098,"Hardy County, WV",0,1,1,2006,54,031
563,562,"Hardy County, WV",1,1,1,2006,54,031
3324,1003,"Hardy County, WV",0,1,2,2006,54,031
800,661,"Hardy County, WV",1,1,2,2006,54,031
3913,918,"Hardy County, WV",0,2,0,2006,54,031
1969,456,"Hardy County, WV",0,2,2,2006,54,031
715,512,"Hardy County, WV",1,2,0,2006,54,031
1944,463,"Hardy County, WV",0,2,1,2006,54,031
305,225,"Hardy County, WV",1,2,1,2006,54,031
410,287,"Hardy County, WV",1,2,2,2006,54,031
2795,441,"Hardy County, WV",0,4,0,2006,54,031
1209,290,"Hardy County, WV",1,4,0,2006,54,031
47518,9917,"Harrison County, WV",0,0,0,2006,54,033
15371,5651,"Harrison County, WV",1,0,0,2006,54,033
23365,5340,"Harrison County, WV",0,0,1,2006,54,033
7192,2741,"Harrison County, WV",1,0,1,2006,54,033
24153,4577,"Harrison County, WV",0,0,2,2006,54,033
8179,2910,"Harrison County, WV",1,0,2,2006,54,033
33621,8669,"Harrison County, WV",0,1,0,2006,54,033
9037,4949,"Harrison County, WV",1,1,0,2006,54,033
16199,4734,"Harrison County, WV",0,1,1,2006,54,033
4056,2405,"Harrison County, WV",1,1,1,2006,54,033
17423,3936,"Harrison County, WV",0,1,2,2006,54,033
4981,2544,"Harrison County, WV",1,1,2,2006,54,033
20068,3872,"Harrison County, WV",0,2,0,2006,54,033
4693,2208,"Harrison County, WV",1,2,0,2006,54,033
9633,2007,"Harrison County, WV",0,2,1,2006,54,033
